"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.716666346E-4,-5.533992004E-1,1.648222504E0,8.596174164E0
9.964980417E-1,-4.288581848E-1,8.875044250E-1,1.039752823E1
1.992425083E0,5.307962036E-1,7.699987793E-1,8.054151306E0
2.988351708E0,1.517244873E0,-1.534309387E-1,8.406368866E0
3.984276292E0,1.299747162E0,-7.500901794E-1,9.839937744E0
4.980200542E0,1.597627716E0,-1.030606842E0,1.001537292E1
5.976122208E0,-3.077600098E-1,-6.915618896E-1,9.639504547E0
6.972042542E0,8.297245789E-1,-2.965333557E-1,1.003438339E1
7.967960542E0,1.572629700E0,-5.745053101E-1,8.851543121E0
8.963876792E0,-6.174659729E-1,-5.149291992E-1,7.422913971E0
9.959790667E0,7.503895569E-1,5.742059326E-1,7.864196320E0
1.095570192E1,9.369017029E-1,7.837701416E-1,7.467820587E0
1.195161204E1,9.262738037E-1,1.316512299E0,8.808582458E0
1.294751992E1,1.140478363E0,1.372645569E-1,1.145792313E1
1.394342454E1,1.640738068E0,-3.252735901E-1,1.245934067E1
1.493932742E1,9.421408081E-1,-2.911445618E-1,1.209874054E1
1.593522779E1,1.830094299E0,2.412982178E-1,1.170984924E1
1.693112592E1,1.768871613E0,8.523275757E-1,8.292904816E0
1.792702221E1,1.194515991E0,9.345066833E-1,8.599766693E0
1.892291529E1,1.057251434E0,4.815486145E-1,8.789571991E0
1.991880717E1,4.625381470E-1,1.033899994E0,7.493267670E0
2.091469808E1,8.271798706E-1,6.259982300E-1,8.076454926E0
2.191058742E1,1.071771240E0,7.623646545E-1,8.065827026E0
2.290647592E1,8.638536072E-1,5.608836365E-1,6.979086914E0
2.390236229E1,7.563771057E-1,9.147477722E-1,7.273075562E0
2.489824821E1,-1.257385254E-2,8.544232178E-1,6.644083557E0
2.589413521E1,2.877017212E-1,6.466552734E-1,6.844816132E0
2.689002196E1,-4.311035156E-2,8.487350464E-1,7.445816345E0
2.788590733E1,-8.367599487E-1,4.288581848E-1,7.872728577E0
2.888179496E1,-8.622070313E-1,4.953199768E-1,7.592211914E0
2.987768271E1,-8.910969543E-1,1.010398865E-1,8.854087830E0
3.087357033E1,-4.635859680E-1,2.293231201E-1,9.221573639E0
3.186945992E1,7.366181946E-1,-6.227050781E-2,9.701475677E0
3.286534942E1,1.755699005E0,-9.439370728E-1,9.695188751E0
3.386123833E1,1.236728210E0,-7.981402588E-1,8.348439331E0
3.485712817E1,9.476792908E-1,4.894821167E-2,9.562265167E0
3.585301508E1,1.980381775E-1,-2.028282166E-1,8.683742065E0
3.684890329E1,1.029559021E0,2.664459229E-1,8.870852966E0
3.784478879E1,7.485932922E-1,7.535330200E-1,8.065527649E0
3.884067196E1,7.426057434E-1,9.604028320E-1,7.927065582E0
3.983655508E1,1.045725403E0,1.049916687E0,7.046895905E0
4.083243596E1,4.266128540E-1,1.105002136E0,7.834258575E0
4.182831492E1,5.712121582E-1,1.105750580E0,6.181246033E0
4.282419208E1,1.146914978E0,1.087039490E0,7.954458618E0
4.382006767E1,5.598358154E-2,1.280437317E0,7.945028229E0
4.481594279E1,6.167175293E-1,1.237776031E0,8.887468414E0
4.581181696E1,6.706054688E-1,1.782193909E0,7.383845215E0
4.680768817E1,1.787882080E0,1.430874481E0,9.514215088E0
4.780356058E1,2.042502594E0,1.525477753E0,1.040231827E1
4.879943183E1,1.555415497E0,1.105451202E0,1.052865555E1
4.979530254E1,1.419049072E0,1.170715485E0,1.051802765E1
5.079117246E1,1.980381775E0,1.606159973E0,1.023451721E1
5.178704179E1,3.140469360E-1,1.088237000E0,1.134610565E1
5.278290954E1,1.219963074E0,1.306183777E0,1.153486313E1
5.377877771E1,1.557660828E0,8.111631775E-1,1.191791656E1
5.477464379E1,1.324894867E0,7.441026306E-1,1.344953156E1
5.577050883E1,1.604663086E-1,6.192622375E-1,1.189157135E1
5.676637229E1,1.010847931E0,4.733157349E-1,1.103131027E1
5.776223367E1,1.260079651E0,6.304888916E-1,1.118548965E1
5.875809392E1,1.116228790E0,1.650168457E0,9.424102478E0
5.975395179E1,1.713037720E0,1.215322723E0,1.137289993E1
6.074980629E1,1.810634766E0,9.960287476E-1,1.119192627E1
6.174566104E1,1.822310486E0,1.440903625E0,9.280101929E0
6.274151408E1,1.128054199E0,1.744023285E0,7.861202545E0
6.373736471E1,7.945477295E-1,1.324296112E0,8.208630066E0
6.473321442E1,7.479945374E-1,1.717528381E0,8.483458557E0
6.572906142E1,-2.769241333E-1,1.501826935E0,7.738607483E0
6.672490821E1,5.782475281E-1,1.621727600E0,6.575825500E0
6.772075346E1,8.976832581E-1,1.276545410E0,7.444169769E0
6.871659754E1,2.652484131E-1,1.628613281E-1,8.987011414E0
6.971244071E1,5.629792786E-1,4.664300537E-1,1.028930328E1
7.070828229E1,1.166524200E0,1.365759888E0,7.400011597E0
7.170412258E1,1.983525238E0,1.046324158E-1,1.165251846E1
7.269996204E1,2.137554932E0,2.218536530E0,1.270542892E1
7.369579817E1,4.077520752E-1,8.171507263E-1,1.048135391E1
7.469163396E1,4.349954224E-1,1.150357819E0,7.005282440E0
7.568746654E1,-1.552272034E-1,4.956193542E-1,9.140891418E0
7.668329867E1,-2.357597351E-1,-1.477427673E-1,9.891879730E0
7.767912842E1,-4.197271729E-1,7.229965210E-2,1.091664871E1
7.867495629E1,-6.806346130E-1,-3.797602844E-1,1.302187088E1
7.967078204E1,4.902305603E-1,1.501078491E0,1.042806473E1
8.066660796E1,8.607101440E-2,9.189390564E-1,8.946745148E0
