"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.984056711E-1,2.258867415E1,1.139688286E2,2.475511946E1,0.000000000E0,1.882585679E2,1.420967055E1,1.420967055E1
1.376127481E0,2.258871305E1,1.139688648E2,2.800427118E1,0.000000000E0,1.882585815E2,1.421059345E1,1.421059345E1
2.378649235E0,2.258871448E1,1.139688626E2,2.806169844E1,0.000000000E0,1.882585807E2,1.421178062E1,1.421178062E1
3.381200552E0,2.258871382E1,1.139688544E2,2.842391107E1,0.000000000E0,1.882585776E2,1.421374675E1,1.421374675E1
4.383642793E0,2.258871937E1,1.139688482E2,2.859251185E1,0.000000000E0,1.882585753E2,1.421398278E1,1.421398278E1
5.385889292E0,2.258872958E1,1.139688340E2,2.828514914E1,1.060919065E0,3.036058350E2,1.421486138E1,1.421486138E1
6.387984633E0,2.258873856E1,1.139688184E2,2.781205580E1,1.530397437E0,3.001330792E2,1.421465927E1,1.421465927E1
7.390093327E0,2.258873762E1,1.139688068E2,2.822989591E1,1.494510035E0,2.830156886E2,1.421820723E1,1.421820723E1
8.391910791E0,2.258873790E1,1.139687990E2,2.826649493E1,1.242905390E0,2.734559527E2,1.421811496E1,1.421811496E1
9.393743873E0,2.258874011E1,1.139687827E2,2.831836089E1,1.284051436E0,2.745012571E2,1.422070574E1,1.422070574E1
1.039534020E1,2.258874485E1,1.139687683E2,2.916546661E1,1.466798488E0,2.782229191E2,1.422769533E1,1.422769533E1
1.139693618E1,2.258874056E1,1.139687504E2,2.833606964E1,1.497598427E0,2.745905013E2,1.422955364E1,1.422955364E1
1.239831197E1,2.258874558E1,1.139687347E2,2.858113711E1,1.489737014E0,2.788835579E2,1.423538075E1,1.423538075E1
1.339959753E1,2.258874343E1,1.139687181E2,2.871905966E1,1.345687292E0,2.758245348E2,1.422812227E1,1.422812227E1
1.440078127E1,2.258874423E1,1.139687039E2,2.844184801E1,1.232674982E0,2.764569977E2,1.422602911E1,1.422602911E1
1.540197527E1,2.258875529E1,1.139686921E2,2.803006081E1,1.139686298E0,2.965087852E2,1.422549286E1,1.422549286E1
1.640302956E1,2.258875902E1,1.139686777E2,2.798496666E1,1.209651828E0,2.948335314E2,1.422523356E1,1.422523356E1
