"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.006028250E0,4.303667831E1,4.219257355E0,-2.388639832E1
2.001745125E0,4.515992355E1,3.410606384E0,-1.908491516E1
2.997462542E0,4.587636185E1,-4.880523682E-2,-2.003694153E1
3.993179167E0,4.622101974E1,-5.467422485E0,-2.021385193E1
4.988894875E0,4.635820389E1,-2.606864929E0,-2.159245300E1
5.984611000E0,4.536431503E1,3.258861542E0,-2.173777771E1
6.980325750E0,4.509881210E1,2.419891357E0,-2.182667542E1
7.976040750E0,4.259330368E1,2.243392944E0,-2.522769165E1
8.971755375E0,4.147437668E1,2.930984497E-1,-2.546405029E1
9.967471167E0,4.181314468E1,3.833923340E-1,-2.282841492E1
1.096318829E1,4.106080246E1,-8.863830566E-2,-2.223887634E1
1.195890287E1,3.995643234E1,-6.121444702E-1,-2.067269897E1
1.295462013E1,4.016792679E1,2.644828796E0,-1.945198059E1
1.395033542E1,4.316598129E1,1.851188660E0,-1.804502869E1
1.494605337E1,4.501242447E1,-3.711013794E-1,-1.898100281E1
1.594177038E1,4.588622665E1,-6.261215210E-1,-1.991618347E1
1.693748854E1,4.712108231E1,1.978847504E0,-2.049919128E1
1.793320675E1,4.652907181E1,1.514831543E0,-2.130326843E1
1.892892525E1,4.647807693E1,-2.466812134E0,-2.037409973E1
1.992464479E1,4.559749985E1,2.201385498E0,-2.177519226E1
2.092036475E1,4.706970596E1,-6.212997437E-1,-2.091778564E1
2.191608579E1,4.700729752E1,-2.138076782E0,-2.234571838E1
2.291180650E1,4.719372177E1,-1.893615723E0,-2.003419495E1
2.390752679E1,4.528524399E1,-3.859085083E0,-2.265058899E1
2.490324800E1,4.588727188E1,-3.354644775E0,-2.353848267E1
2.589896987E1,4.628342819E1,-4.923896790E0,-2.189399719E1
2.689469092E1,4.346856308E1,-7.388633728E0,-2.224798584E1
2.789041279E1,4.377285385E1,-4.484451294E0,-2.209306335E1
2.888613554E1,4.531792068E1,-6.234916687E0,-2.114166260E1
2.988185925E1,4.601179886E1,-6.083343506E0,-1.966494751E1
3.087758225E1,4.375832748E1,-5.348464966E0,-2.063691711E1
3.187330562E1,4.212801743E1,-4.681755066E0,-2.420448303E1
3.286902688E1,4.472671890E1,-1.522430420E0,-2.255738831E1
3.386474900E1,4.541990280E1,-3.495933533E0,-2.089366150E1
3.486047200E1,4.322501755E1,-2.771865845E0,-2.263166809E1
3.585619363E1,4.288881302E1,-3.690567017E-1,-2.573730469E1
3.685191462E1,4.071848679E1,7.834548950E-1,-3.064666748E1
3.784763479E1,4.222511673E1,-1.013618469E0,-3.093869019E1
3.884335467E1,4.714096451E1,-5.249351501E0,-2.880387878E1
3.983907462E1,4.487826157E1,-1.116198730E1,-2.935894775E1
4.083479279E1,4.551413345E1,-1.059282684E1,-2.458824158E1
4.183051162E1,4.506568527E1,-7.676765442E0,-2.358367920E1
4.282623000E1,4.736003494E1,-4.368446350E0,-2.245458984E1
