"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.250024996E-2,1.473984833E0,6.186634827E-1,9.259145508E0
1.078217250E0,8.187973022E-2,-8.930429077E-1,1.400727173E1
2.073934125E0,-9.768685913E-1,9.618997192E-1,1.459105774E1
3.074629542E0,-2.846331024E0,-1.526675262E0,1.197958832E1
4.070346167E0,-4.104464722E-1,1.886676636E0,1.207793381E1
5.066061875E0,-1.003363495E0,4.725672913E-1,1.292427383E1
6.061778000E0,1.071022797E0,2.265987854E0,1.073328003E1
7.057492750E0,-3.225791931E-1,-4.510121155E-1,1.223525665E1
8.053207750E0,-1.029858398E-1,2.522254944E-1,1.271321274E1
9.048923375E0,3.769161987E-1,-8.202941895E-1,1.391221939E1
1.004463817E1,-4.309538269E-1,-3.162922668E-1,1.497560806E1
1.104035529E1,8.580157471E-1,-3.167413330E-1,1.413390839E1
1.203607088E1,2.389031982E-1,-1.795965271E0,1.540760971E1
1.303178712E1,-1.609453125E0,-1.177451477E0,1.250185226E1
1.402750342E1,-3.133883057E0,-1.737736359E0,1.155581955E1
1.502322037E1,-3.475472717E0,-1.078806610E0,8.139174500E0
1.601893837E1,-3.164419556E0,5.499563599E-1,8.140671387E0
1.701465654E1,-8.337661743E-1,6.821315002E-1,6.859485626E0
1.801037375E1,1.540147247E0,1.690285034E0,8.879085846E0
1.900609325E1,9.871971130E-1,8.888516235E-1,1.026056305E1
2.000181279E1,1.577719116E-1,4.132905579E-1,7.195836182E0
2.099753275E1,-5.083428955E-1,6.685098267E-1,5.578599243E0
2.199325379E1,-6.655160522E-1,-1.085243225E-1,8.077951813E0
2.298897450E1,-4.743635559E-1,-9.894424438E-2,8.327782288E0
2.398469479E1,4.661306763E-1,2.059267731E0,6.148464203E0
2.498041600E1,-3.288661194E-1,7.051835632E-1,6.910679169E0
2.597613787E1,-3.281176758E-1,7.204518127E-1,7.392527161E0
2.697185892E1,1.252894592E-1,1.586850128E0,6.409521332E0
2.796758079E1,-1.561253357E-1,1.572929077E0,7.712711334E0
2.896330354E1,9.184899902E-1,3.339555359E0,5.288652191E0
2.995902725E1,2.113604736E-1,1.942061462E0,7.934250641E0
3.095475025E1,-2.185455322E-2,1.624272308E0,7.300618286E0
3.195047262E1,8.128097534E-1,1.844763794E0,7.605534210E0
3.294619487E1,-4.558021545E-1,1.735341339E0,6.548282776E0
3.394191700E1,-3.558100891E-1,9.696835327E-1,7.713759155E0
3.493763900E1,3.529660034E-1,1.805545349E0,7.637717285E0
3.593336162E1,2.514770508E-1,1.633852386E0,7.058571625E0
3.692908262E1,3.412902832E-1,1.758243713E0,6.422693939E0
3.792480279E1,5.228627014E-1,2.055824890E0,6.245911560E0
3.892052167E1,-1.878593445E-1,1.015787659E0,7.904312897E0
3.991624262E1,2.715353394E-1,1.674867096E0,7.295379181E0
4.091196079E1,-1.081950073E0,2.363584900E-1,8.569230194E0
4.190767862E1,-4.076023865E-1,1.177750854E0,8.038733368E0
4.290339800E1,-3.420387268E-1,9.713301086E-1,8.030949554E0
4.389911454E1,-9.520202637E-2,1.275946655E0,8.368946686E0
4.489483362E1,-1.191073151E0,4.671784973E-1,8.115972748E0
4.589054842E1,-1.776805115E-1,8.668473816E-1,7.972720642E0
4.688626400E1,-2.692900085E-1,1.070424042E0,7.807314606E0
4.788197912E1,-1.260379028E-1,2.378553772E-1,1.047042664E1
4.887769287E1,6.703060913E-1,-4.761598206E-1,1.043465103E1
4.987340587E1,9.389973450E-1,7.596702576E-1,1.267174896E1
5.086911850E1,-4.041595459E-3,1.393152924E0,1.181897232E1
5.186483029E1,1.674717407E0,4.243675232E-1,1.225217148E1
5.286054225E1,1.855990448E0,9.701325989E-1,1.266935394E1
5.385625337E1,-1.231638794E0,-2.162852325E0,1.334310287E1
5.485196538E1,5.089416504E-3,6.168672180E-1,5.990991669E0
5.584767750E1,2.106120300E0,9.238787842E-1,1.035980667E1
5.684338900E1,2.689906311E0,7.982899475E-1,1.145897095E1
5.783910112E1,2.032473450E0,-6.930587769E-1,1.074615326E1
5.883481325E1,1.827699280E-1,1.546883240E0,7.096293182E0
5.983052375E1,-3.362008667E-1,1.447489929E-1,8.383765869E0
6.082623450E1,-9.395960999E-1,3.065625000E-1,8.149952087E0
6.182194513E1,-1.354682922E0,9.069639587E-1,2.834355927E0
6.281765525E1,-4.126918030E-1,1.377585297E0,4.688999176E0
6.381336412E1,-3.731739807E-1,1.239871674E0,7.260052643E0
6.480907325E1,-3.513194275E-1,1.825903015E0,8.738677826E0
6.580478075E1,-8.753796387E-1,1.334924011E0,8.264164581E0
6.680048904E1,6.704557800E-1,3.299738159E0,1.044183609E1
6.779619704E1,-1.329684906E0,3.223396912E0,1.154638916E1
6.879190392E1,-4.610412598E-2,2.486479340E0,1.211969696E1
6.978761187E1,-3.579057312E-1,2.626288605E0,1.017553986E1
7.078331900E1,-2.179318085E0,3.495231628E-1,8.289461975E0
7.177902679E1,-1.938917999E0,1.473685455E0,9.342971191E0
7.277473350E1,-1.294657745E0,2.030078430E0,6.159690857E0
7.377044192E1,7.473957825E-1,1.154100037E0,1.099867813E1
7.476614917E1,-1.406924286E0,-2.977308655E-1,8.157586212E0
