"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.006028250E0,5.234255195E-1,-1.096462756E-1,4.504220486E-1
2.001745125E0,6.060032845E-1,-5.225675106E-1,8.373878151E-2
2.997462542E0,3.718723953E-1,2.776028514E-1,4.242589474E-1
3.993179167E0,3.434872031E-1,-1.966429651E-1,3.543799222E-1
4.988894875E0,3.482203782E-1,1.440554708E-1,-1.763209105E-1
5.984611000E0,1.168614745E0,-5.222745538E-1,5.140167475E-1
6.980325750E0,3.431265950E-1,3.186653182E-2,3.179750443E-1
7.976040750E0,4.433820248E-1,-1.016192138E-1,3.228641152E-1
8.971755375E0,9.271416813E-2,3.540471494E-1,3.506819010E-1
9.967471167E0,5.996301025E-2,5.873151869E-2,3.237091601E-1
1.096318829E1,3.468711972E-1,8.761066943E-2,1.280207634E-1
1.195890287E1,8.623266965E-2,5.618489161E-2,2.609005868E-1
1.295462013E1,9.383881092E-2,-1.188747883E-1,1.589446366E-1
1.395033542E1,-1.256990135E-1,2.607972324E-1,3.836779594E-1
1.494605337E1,-8.665883541E-2,-8.311802894E-2,-3.240953684E-1
1.594177038E1,6.576857567E-1,-1.111730933E0,-2.762283683E-1
1.693748854E1,5.745455027E-1,2.576211989E-1,-1.489015073E-1
1.793320675E1,3.541136086E-1,5.304516554E-1,4.606059194E-2
1.892892525E1,3.935565948E-1,-2.529874444E-1,3.303029835E-1
1.992464479E1,-7.462510467E-1,4.416938499E-2,3.901987970E-1
2.092036475E1,-8.187743425E-1,1.154794097E0,-1.458365321E-1
2.191608579E1,-6.419223547E-1,5.851706862E-1,-2.411810458E-1
2.291180650E1,-4.752295911E-1,1.136977598E-1,6.165375933E-3
2.390752679E1,-2.356429398E-1,3.108977973E-1,2.434005886E-1
2.490324800E1,-5.143612027E-1,4.371900260E-1,-5.992001295E-2
2.589896987E1,8.608630300E-2,4.734917730E-2,-9.095670283E-2
2.689469092E1,1.412447691E-1,-1.597156674E-1,4.395582527E-2
2.789041279E1,7.636212707E-1,-4.216860235E-1,5.266994834E-1
2.888613554E1,3.848851025E-1,-2.017162591E-1,1.699616462E-1
2.988185925E1,-1.508423388E-1,4.673743155E-3,2.576445937E-1
3.087758225E1,1.240004152E-1,-1.400273852E-2,1.203383952E-1
3.187330562E1,-1.758525819E-1,4.945921898E-1,3.566857874E-1
3.286902688E1,2.423509210E-2,-1.548239589E-1,2.833733559E-1
3.386474900E1,-1.595847756E-1,2.428906709E-1,-2.636911720E-2
3.486047200E1,1.401895471E-2,9.560761601E-2,1.813043952E-1
3.585619363E1,4.787199199E-2,2.233035415E-1,2.912396789E-1
3.685191462E1,1.204664782E-1,-2.423822135E-2,2.667235732E-1
3.784763479E1,2.347465158E-1,3.138424084E-2,5.771651864E-1
3.884335467E1,-3.137447834E-1,1.176213548E-1,1.087234318E-1
3.983907462E1,1.357473880E-1,2.594687231E-2,3.003309965E-1
4.083479279E1,-3.504290581E-1,-2.623801231E-1,5.802237988E-2
4.183051162E1,1.469812542E-1,-2.210138589E-1,-5.275212973E-2
4.282623000E1,7.435975224E-2,-1.096238568E-1,3.409620523E-1
4.382194754E1,2.983821929E-2,1.360023320E-1,9.382890910E-2
4.481766563E1,1.419232190E-1,-4.806896299E-2,9.489264339E-3
4.581338142E1,6.231248751E-2,2.414216250E-1,-1.364096254E-1
4.680909700E1,7.579291612E-2,-1.164378077E-1,3.593160510E-1
4.780481212E1,3.507158756E-1,2.479022443E-1,5.501393229E-2
4.880052587E1,2.667039931E-1,4.013590217E-1,7.917008549E-2
4.979623888E1,5.323026180E-1,-1.539914012E-1,2.339585871E-1
5.079195250E1,-2.241043560E-2,-2.848526239E-1,-4.866278470E-1
5.178766329E1,2.860243246E-2,1.095276549E-1,4.608863592E-2
5.278337529E1,7.876393795E-1,-3.486758098E-2,3.920415044E-1
5.377908625E1,1.066472679E-1,-6.440032721E-1,1.877121627E-2
5.477479837E1,-1.156046987E0,4.058877230E-1,-5.248378515E-1
5.577051037E1,-2.398626059E-1,7.202827930E-1,-3.580751121E-1
5.676622250E1,7.079734206E-1,6.714393497E-1,-5.866799969E-3
5.776193400E1,2.805848718E-1,-4.485977888E-1,3.614740670E-1
5.875764612E1,-1.007411122E0,-2.565975860E-2,-5.079371333E-1
5.975335725E1,-6.728818417E-1,-3.211038411E-1,-2.896624506E-1
6.074906775E1,-6.488903165E-1,-3.070053458E-1,-2.393391132E-1
6.174477750E1,4.874807969E-2,8.675371110E-2,-4.516895115E-1
6.274048813E1,-3.935033977E-1,2.947950661E-1,-3.546108902E-1
6.373619725E1,3.176662922E-1,6.247579679E-2,-3.295385242E-1
6.473190612E1,1.459957063E-1,-7.796517015E-2,1.346694976E-1
6.572761425E1,4.012980759E-1,1.158604398E-1,2.367630303E-1
6.672332175E1,4.305549562E-1,-1.596432328E-1,1.158548743E-1
6.771903004E1,-7.326679677E-2,-2.656213641E-1,-2.097363472E-1
6.871473792E1,2.519207001E-1,4.782494009E-1,7.829677463E-1
6.971044487E1,4.411507547E-1,7.216689587E-1,3.183693886E-1
7.070615300E1,7.183130831E-2,9.350753576E-2,-9.170418233E-2
7.170185979E1,4.664519727E-1,6.315569282E-1,1.044314384E0
7.269756750E1,2.838672996E-1,1.894540191E-1,-4.110156596E-1
7.369327492E1,3.357155323E-1,4.680698812E-1,5.741202831E-1
7.468898317E1,-2.656444907E-1,-5.938279629E-1,5.596141815E-1
7.568469042E1,-1.002806187E0,-2.703880966E-1,-4.468679428E-2
7.668039762E1,-1.089123130E0,3.615747988E-1,1.584382504E-1
7.767610475E1,4.411674738E-1,1.791991889E-1,8.132839203E-1
7.867181250E1,-4.047628045E-1,2.199839652E-1,-5.129451305E-2
7.966751962E1,-3.351908028E-1,8.044972420E-1,4.610322043E-2
8.066322650E1,1.748742461E-1,-5.811268091E-2,3.806208670E-1
8.165893337E1,-2.337174863E-1,4.024045169E-1,3.408682644E-1
8.265463954E1,3.054382280E-2,-4.775007963E-1,-2.244682759E-1
8.365034704E1,-1.754732430E-1,-1.335153580E0,-6.097462177E-1
8.464605300E1,1.953033358E-1,4.748387039E-1,-4.779237509E-2
8.564175904E1,2.028841525E-1,9.157804847E-1,5.369411707E-1
8.663746417E1,-3.425053954E-1,8.688414097E-1,-6.032269001E-1
8.763316904E1,-2.774615288E-1,-2.619909048E-1,-1.073574573E-1
8.862887425E1,-7.510924935E-1,-1.158481538E-1,-6.244414449E-1
8.962457592E1,2.220748961E-1,4.609122872E-1,-1.799259782E-1
9.062027812E1,-3.616622686E-1,4.975128770E-1,-1.880072951E-1
9.161598000E1,9.513012134E-3,-2.721512020E-1,-2.300847322E-1
9.261168179E1,-1.110514849E-1,4.148439467E-1,-1.465038210E-1
9.360738275E1,6.021290645E-2,-2.279756814E-1,6.605777889E-2
9.460308375E1,4.315599501E-1,3.718804419E-1,-1.334322393E-1
9.559878375E1,2.568721473E-1,1.414270848E-1,-2.646729723E-2
9.659448492E1,4.868463278E-1,3.591617942E-2,1.367990673E-1
9.759018662E1,-2.686252296E-1,6.014426053E-2,-7.343386114E-2
9.858588642E1,4.309909344E-1,-9.518259019E-2,4.331749305E-2
9.958158717E1,-1.275553256E-1,-3.242160007E-2,1.872888803E-1
1.005772876E2,5.184409022E-1,1.865077913E-1,4.094465077E-1
1.015729893E2,4.561034217E-2,4.141831100E-1,2.346270680E-1
1.025686899E2,-2.196228653E-1,7.949645817E-2,4.292026907E-2
1.035643908E2,2.558583319E-1,1.422512252E-2,2.383573540E-2
1.045600920E2,6.894997954E-1,2.480762899E-1,3.945146203E-1
1.055557920E2,8.190298080E-1,5.094862357E-2,1.965297759E-1
1.065514925E2,7.813873887E-1,2.288440019E-1,7.846261263E-1
1.075471917E2,-4.296734929E-1,-3.953269422E-1,2.229918540E-1
1.085428925E2,-2.347595394E-1,-5.925069004E-2,2.780417539E-2
1.095385916E2,-6.086618304E-1,2.500333488E-1,-4.909113050E-1
1.105342899E2,-2.138368040E-1,-1.823593676E-1,6.189274788E-2
