"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.531046867E-3,2.258755063E1,1.139667132E2,4.634747314E1,-1.000000000E0,-1.000000000E0,1.227152898E2,1.227152898E2
9.017705917E-2,2.258754388E1,1.139667118E2,4.634747314E1,-1.000000000E0,-1.000000000E0,1.329573262E2,1.329573262E2
9.157502651E-2,2.258754388E1,1.139667118E2,4.634747314E1,-1.000000000E0,-1.000000000E0,1.329573267E2,1.329573267E2
8.246400356E-1,2.258789957E1,1.139669359E2,4.295749664E1,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.153424144E0,2.258759797E1,1.139669672E2,3.690246582E1,9.599999785E-1,2.446875000E2,1.723180941E1,1.723180941E1
2.432560086E0,2.258759487E1,1.139669601E2,3.712683105E1,9.599999785E-1,2.446875000E2,1.819997645E1,1.819997645E1
3.447313547E0,2.258759111E1,1.139669516E2,3.852351343E1,9.599999785E-1,2.446874967E2,1.819997645E1,1.819997645E1
4.435770154E0,2.258763086E1,1.139670448E2,5.234523068E1,9.599999785E-1,2.548828091E2,2.695347043E1,2.695347043E1
5.432167530E0,2.258762267E1,1.139671308E2,5.687853304E1,1.250000000E0,2.735156204E2,2.117108872E1,2.117108872E1
6.432890892E0,2.258753743E1,1.139669227E2,5.527453168E1,1.909999967E0,2.851171806E2,1.695129038E1,1.695129038E1
7.495860219E0,2.258772939E1,1.139668524E2,2.422314184E1,1.240000010E0,2.731640576E2,2.732630267E1,2.732630267E1
8.498996139E0,2.258769925E1,1.139668597E2,3.023817173E1,1.240000010E0,2.861718705E2,2.469378843E1,2.469378843E1
9.502497077E0,2.258769190E1,1.139668504E2,3.211620918E1,1.230000019E0,2.735156204E2,2.323740488E1,2.323740488E1
1.050186336E1,2.258769452E1,1.139668385E2,2.988641945E1,1.230000019E0,2.784374955E2,2.284027611E1,2.284027611E1
1.149762321E1,2.258769766E1,1.139668230E2,2.950636356E1,1.299999952E0,2.728124952E2,2.237812147E1,2.237812147E1
1.249227011E1,2.258770165E1,1.139668077E2,3.011628885E1,1.389999986E0,2.742187448E2,2.207328540E1,2.207328540E1
1.349124420E1,2.258770444E1,1.139667928E2,2.944784040E1,1.389999986E0,2.710546823E2,2.197081415E1,2.197081415E1
1.449635649E1,2.258770825E1,1.139667792E2,2.862472934E1,1.389999986E0,2.692968698E2,2.191164597E1,2.191164597E1
1.549536860E1,2.258771369E1,1.139667659E2,2.812559241E1,1.379999995E0,2.717578074E2,2.191164607E1,2.191164607E1
1.649683142E1,2.258772045E1,1.139667518E2,2.765300530E1,1.370000005E0,2.766796824E2,2.191164617E1,2.191164617E1
1.749981189E1,2.258772582E1,1.139667386E2,2.759832782E1,1.370000005E0,2.763281199E2,2.191164626E1,2.191164626E1
1.849780357E1,2.258772839E1,1.139667278E2,2.810156933E1,1.269999981E0,2.699999953E2,2.197683052E1,2.197683052E1
1.949693596E1,2.258773232E1,1.139667193E2,2.675331128E1,1.039999962E0,2.696484336E2,2.200593976E1,2.200593976E1
2.049745238E1,2.258773588E1,1.139667015E2,2.637636825E1,1.470000029E0,2.721093695E2,2.207941284E1,2.207941284E1
2.149823976E1,2.258773776E1,1.139666883E2,2.613564559E1,1.470000029E0,2.728124945E2,2.233580598E1,2.233580598E1
2.249157143E1,2.258773670E1,1.139666826E2,2.526833689E1,1.000000000E0,2.657812463E2,2.264735585E1,2.264735585E1
2.349204481E1,2.258774551E1,1.139666614E2,2.380697481E1,1.144506956E0,2.752384784E2,1.424250578E1,1.424250578E1
