"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.484583184E-4,-4.293671265E0,2.855911102E0,7.835456085E0
1.070445834E-2,-4.616549835E0,2.624192963E0,8.229736176E0
2.066045837E-2,-4.553081818E0,2.555036774E0,8.470136261E0
3.061645839E-2,-4.184099121E0,2.500550079E0,8.816815338E0
4.057245841E-2,-3.746558990E0,2.434687042E0,9.122330017E0
5.052745831E-2,-3.298989716E0,2.435884552E0,9.461374969E0
6.048345834E-2,-2.912343750E0,2.436034241E0,9.796078949E0
7.043945836E-2,-2.728376312E0,2.449057159E0,9.929750977E0
8.039545838E-2,-2.663561096E0,2.518961792E0,1.004590942E1
9.035145841E-2,-2.655477905E0,2.600242767E0,1.016161880E1
1.003074583E-1,-2.696941681E0,2.579436035E0,9.940678253E0
1.102634583E-1,-2.733914795E0,2.542911987E0,9.439819794E0
1.202194584E-1,-2.689307556E0,2.526296539E0,9.145980835E0
1.301754584E-1,-2.527643738E0,2.511177979E0,8.823701019E0
1.401314584E-1,-2.538121948E0,2.466570740E0,8.595725098E0
1.500874583E-1,-2.605631561E0,2.500250702E0,8.773704987E0
1.600434583E-1,-2.562371521E0,2.590962067E0,9.282946014E0
1.699984584E-1,-2.272125092E0,2.714455261E0,9.820777588E0
1.799544584E-1,-1.844314728E0,2.805166626E0,9.972262573E0
1.899104584E-1,-1.455273743E0,2.837798767E0,9.690099335E0
1.998664583E-1,-1.277742920E0,2.761307831E0,9.377399597E0
2.098224583E-1,-1.488354950E0,2.652484131E0,9.101523285E0
2.197784584E-1,-1.922601929E0,2.455194397E0,8.875343628E0
2.297344584E-1,-2.322869568E0,2.343526611E0,9.019493866E0
2.396904584E-1,-2.388732605E0,2.342927856E0,9.277557220E0
2.496464583E-1,-2.330354004E0,2.304906921E0,9.242829437E0
2.596024583E-1,-2.275717621E0,2.239043884E0,9.325158234E0
2.695584584E-1,-2.165696411E0,2.338287506E0,9.720785522E0
2.795144584E-1,-1.983974304E0,2.330952759E0,1.015802628E1
2.894704584E-1,-1.944905548E0,2.283950500E0,1.027463379E1
2.994254584E-1,-1.959275665E0,2.461481323E0,1.040830582E1
3.093814583E-1,-1.828447723E0,2.616409149E0,1.061023590E1
3.193374583E-1,-1.440304871E0,2.769391022E0,1.029933243E1
3.292934584E-1,-9.717791748E-1,3.005749512E0,9.578431549E0
3.392494584E-1,-4.929249573E-1,3.213966522E0,8.765172729E0
3.492054584E-1,-1.257385254E-1,3.282973022E0,8.130342865E0
3.591614583E-1,6.256988525E-2,3.282374268E0,8.005951538E0
3.691174584E-1,-1.097218323E-1,3.206631775E0,7.929161224E0
3.790734584E-1,-5.761518860E-1,3.052901459E0,7.913593597E0
3.890294584E-1,-8.184979248E-1,3.069217529E0,8.367599487E0
3.989854584E-1,-6.388714600E-1,3.239563293E0,8.704848175E0
4.089414583E-1,-3.113525391E-2,3.493734741E0,9.046437836E0
4.188974584E-1,2.880010986E-1,3.413501587E0,9.186247101E0
4.288524584E-1,4.385879517E-1,3.121907959E0,8.894803162E0
4.388084584E-1,6.583309937E-1,2.877017212E0,8.867559814E0
4.487644584E-1,8.631051636E-1,2.627037048E0,8.887468414E0
4.587204583E-1,9.636959839E-1,2.362836456E0,8.875044250E0
4.686764583E-1,1.048270111E0,2.168989563E0,8.759634247E0
4.786324584E-1,1.187031555E0,2.088606720E0,8.439150696E0
4.885884584E-1,1.398392029E0,2.201921082E0,8.077652435E0
4.985444584E-1,1.492546234E0,2.335892487E0,8.062982941E0
5.085004583E-1,1.707050171E0,2.419718170E0,8.496780853E0
5.184564583E-1,2.413730621E0,2.407144318E0,9.663454742E0
5.284124584E-1,2.392624512E0,2.201771393E0,1.016551071E1
5.383674584E-1,2.905308380E0,1.911225586E0,1.038420593E1
5.483234584E-1,3.685186615E0,1.936073914E0,1.042566971E1
5.582794583E-1,3.640130310E0,1.835632782E0,9.202413483E0
5.682354583E-1,3.209924927E0,2.152224426E0,8.028704224E0
5.781914584E-1,2.355352020E0,2.467468872E0,8.064479828E0
5.881474584E-1,1.077309723E0,3.007096710E0,7.380102997E0
5.981034584E-1,5.269042969E-1,4.024381256E0,6.330485687E0
6.080594583E-1,3.559597778E-1,4.070485382E0,7.624245300E0
6.180154583E-1,1.285676422E0,3.108735352E0,9.911488953E0
6.279714584E-1,2.956352234E0,1.624421997E0,1.200353851E1
6.379274584E-1,4.253704376E0,7.613168335E-1,1.344743591E1
6.478824584E-1,4.216282196E0,5.845344543E-1,1.365550323E1
6.578384583E-1,3.753145294E0,3.860472107E-1,1.314162186E1
6.677944583E-1,3.670666809E0,1.767823792E-1,1.252999374E1
6.777504584E-1,3.497327271E0,5.754034424E-1,1.182540894E1
6.877056251E-1,3.457360382E0,1.271156616E0,1.066681824E1
6.976616250E-1,3.621419220E0,2.093696136E0,9.372759247E0
7.076176250E-1,3.391946411E0,2.559677124E0,8.336015167E0
7.175736250E-1,2.524799652E0,2.564766541E0,7.467820587E0
7.275296251E-1,1.393003235E0,2.403851166E0,6.710844727E0
7.374856251E-1,8.434959412E-1,2.132764893E0,6.811734924E0
7.474416250E-1,1.167422333E0,1.994003448E0,5.975274353E0
7.573976250E-1,1.910477142E0,2.175276489E0,6.249055023E0
7.673536250E-1,2.461930389E0,2.372117157E0,7.339088287E0
7.773086251E-1,2.939138031E0,2.495460663E0,8.580307159E0
7.872646251E-1,3.160677338E0,2.856958923E0,8.820108490E0
7.972206250E-1,3.332370300E0,2.891387329E0,8.435408478E0
8.071766250E-1,3.200793915E0,2.342778168E0,8.600365448E0
8.171326250E-1,2.105072479E0,1.706002350E0,9.323212280E0
8.270886251E-1,7.836204529E-1,9.446855164E-1,9.542955322E0
8.370446251E-1,1.745370483E-1,2.752775574E-1,9.694440308E0
8.470006250E-1,-1.097218323E-1,3.790118408E-1,1.011087433E1
8.569566250E-1,-2.186952209E-1,9.436376953E-1,1.027448410E1
8.669126250E-1,-2.868035889E-1,9.771679688E-1,9.754914551E0
8.768686251E-1,-1.770817566E-1,8.006849670E-1,9.037606201E0
8.868236251E-1,-5.703140259E-2,8.461903381E-1,8.413254547E0
8.967796250E-1,7.933502197E-2,1.099313965E0,8.048912201E0
9.067356250E-1,2.324665833E-1,1.313668213E0,7.363188171E0
9.166916250E-1,2.646496582E-1,1.421144714E0,7.229815521E0
9.266476250E-1,8.994795227E-1,1.804946594E0,8.053851929E0
9.366036251E-1,1.065933380E0,2.590513000E0,8.949888611E0
9.465596250E-1,5.971083069E-1,2.428400116E0,9.862091675E0
9.565156250E-1,1.969903564E-1,1.137334900E0,1.056158707E1
9.664716250E-1,-5.879772949E-1,5.328918457E-1,9.770781555E0
9.764276250E-1,-3.980223083E-1,3.603007507E-1,9.842332764E0
9.863836251E-1,1.396595764E-1,7.300318909E-1,1.077474380E1
9.963386250E-1,5.496569824E-1,9.900411987E-1,1.110106522E1
1.006294625E0,6.924600220E-1,9.030720520E-1,1.087219116E1
1.016250625E0,4.556524658E-1,8.521778870E-1,1.075049423E1
1.026206625E0,-1.257385254E-1,7.150630188E-1,1.079779587E1
1.036162625E0,-5.096900940E-1,5.897735596E-1,1.067445236E1
1.046118625E0,-4.824467468E-1,5.448669434E-1,1.030517029E1
1.056074625E0,-2.555186462E-1,8.367599487E-1,1.043255539E1
1.066030625E0,-1.531315613E-1,1.022823029E0,1.040336609E1
1.075986625E0,1.796264648E-3,1.199755096E0,1.035995636E1
1.085942625E0,2.993774414E-1,1.077309723E0,1.049063461E1
1.095898625E0,4.453239441E-1,8.484356689E-1,1.120539825E1
1.105853625E0,2.664459229E-1,7.021897888E-1,1.181957108E1
1.115809625E0,-2.754272461E-2,3.478765869E-1,1.166928360E1
1.125765625E0,-4.586462402E-1,1.624122620E-1,1.139101227E1
1.135721625E0,-8.327183533E-1,2.646496582E-1,1.089135132E1
1.145677625E0,-1.202150116E0,5.664221191E-1,1.023391846E1
1.155633625E0,-1.576072540E0,1.086740112E0,9.746981049E0
1.165589625E0,-1.508263550E0,1.591191101E0,9.103020172E0
1.175545625E0,-7.231462097E-1,1.796713715E0,8.758287048E0
1.185501625E0,4.085005188E-1,1.738784180E0,9.464368744E0
1.195457625E0,1.102906494E0,1.317859497E0,1.064795746E1
1.205413625E0,1.271905060E0,2.947370911E-1,1.187899750E1
1.215368625E0,5.289999390E-1,-1.018631744E0,1.344025085E1
1.225324625E0,-8.548722839E-1,-2.057770844E0,1.431877396E1
1.235280625E0,-1.854044495E0,-2.693199463E0,1.389006546E1
1.245236625E0,-2.061363373E0,-2.483335876E0,1.284643570E1
1.255192625E0,-1.794618073E0,-1.681902466E0,1.171898026E1
1.265148625E0,-1.380878448E0,-7.704478455E-1,1.072684341E1
1.275104625E0,-1.012344818E0,1.616638184E-1,9.868079224E0
1.285060625E0,-6.738986206E-1,9.036708069E-1,9.530980225E0
1.295016625E0,-6.132746887E-1,1.298699341E0,9.397158508E0
1.304972625E0,-5.745053101E-1,1.300944672E0,9.149273987E0
1.314928625E0,-6.909631348E-1,1.158141632E0,9.059011688E0
1.324883625E0,-9.237290955E-1,1.021176453E0,9.041198730E0
1.334839625E0,-9.388476562E-1,8.006849670E-1,8.841813354E0
1.344795625E0,-8.521778870E-1,7.879614258E-1,8.820108490E0
1.354751625E0,-6.634204102E-1,9.168434143E-1,8.833879852E0
1.364707625E0,-4.641847229E-1,1.046473846E0,8.673114166E0
1.374663625E0,-3.481759644E-1,1.056353302E0,8.408314819E0
1.384619625E0,-2.182461548E-1,9.288185120E-1,8.141719208E0
1.394575625E0,-3.143463135E-3,7.485932922E-1,8.294701080E0
1.404531625E0,1.445993042E-1,5.875282288E-1,8.787476349E0
1.414487625E0,1.213975525E-1,3.468287659E-1,9.178463287E0
1.424443625E0,-2.264790344E-1,-1.077758789E-2,9.107361145E0
1.434398625E0,-5.830375671E-1,-5.134323120E-2,8.729397125E0
1.444354625E0,-8.641529846E-1,1.182540894E-2,8.365503845E0
1.454310625E0,-1.046623535E0,2.128573608E-1,7.972121887E0
1.464266625E0,-9.033714294E-1,5.755531311E-1,7.486232300E0
1.474222625E0,-4.863386536E-1,9.247769165E-1,7.164700928E0
1.484178625E0,-2.514770508E-2,1.224154358E0,6.991361389E0
