"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.598703861E-2,2.258762088E1,1.139664481E2,4.006286621E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.598703861E-2,2.258761978E1,1.139664446E2,3.912892532E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.403545380E0,2.258735536E1,1.139667927E2,6.029641128E1,1.629999995E0,2.991796822E2,2.171246616E1,2.171246616E1
4.511187196E0,2.258735614E1,1.139667912E2,6.029641133E1,1.629999995E0,2.991796816E2,2.171246616E1,2.171246616E1
5.510594964E0,2.258798087E1,1.139665307E2,1.094982450E1,1.289999962E0,2.503124955E2,2.898426525E1,2.898426525E1
6.671542525E0,2.258796666E1,1.139665417E2,1.476272740E1,1.179999948E0,2.545312458E2,2.904262345E1,2.904262345E1
7.671570659E0,2.258794577E1,1.139665419E2,1.504193420E1,1.409999967E0,2.366015581E2,2.909588353E1,2.909588353E1
8.671606898E0,2.258791825E1,1.139665430E2,1.966127320E1,1.409999967E0,2.239453088E2,2.927736277E1,2.927736277E1
9.671663523E0,2.258787972E1,1.139665417E2,2.202730164E1,1.919999957E0,2.126953086E2,2.839375870E1,2.839375870E1
1.067172217E1,2.258784642E1,1.139665457E2,2.629531456E1,1.649999976E0,2.151562465E2,2.726896742E1,2.726896742E1
1.167178440E1,2.258781932E1,1.139665460E2,2.928727413E1,1.649999976E0,2.274609330E2,2.645871813E1,2.645871813E1
1.267185187E1,2.258780176E1,1.139665429E2,3.114094324E1,1.389999986E0,2.485546827E2,2.589793033E1,2.589793033E1
1.367191231E1,2.258778260E1,1.139665364E2,3.500443763E1,1.389999986E0,2.608593699E2,2.517054298E1,2.517054298E1
1.467197514E1,2.258776137E1,1.139665380E2,3.794660815E1,8.299999833E-1,2.576953095E2,2.497446916E1,2.497446916E1
1.567202890E1,2.258773555E1,1.139665347E2,4.282675040E1,1.080000043E0,2.450390588E2,2.487070367E1,2.487070367E1
1.667208469E1,2.258771207E1,1.139665303E2,4.632092297E1,1.080000043E0,2.471484338E2,2.461822629E1,2.461822629E1
1.767213869E1,2.258768212E1,1.139665224E2,4.982819432E1,1.370000005E0,2.394140581E2,2.437480015E1,2.437480015E1
1.867219198E1,2.258766145E1,1.139665117E2,5.155240936E1,1.429999948E0,2.531249949E2,2.415999728E1,2.415999728E1
1.967224014E1,2.258764260E1,1.139665023E2,5.332282610E1,1.429999948E0,2.566406198E2,2.418744853E1,2.418744853E1
2.067229402E1,2.258762533E1,1.139664974E2,5.665787902E1,1.210000038E0,2.615624955E2,2.416550936E1,2.416550936E1
2.167233741E1,2.258760920E1,1.139664901E2,5.761470571E1,1.210000038E0,2.573437456E2,2.416565268E1,2.416565268E1
2.267238295E1,2.258760040E1,1.139664783E2,5.460223980E1,1.429999948E0,2.562890573E2,2.441704939E1,2.441704939E1
2.367242062E1,2.258759541E1,1.139664617E2,3.643018834E1,1.329722858E0,2.666646761E2,1.405794349E1,1.405794349E1
2.467246234E1,2.258760422E1,1.139664488E2,3.603978179E1,1.395286917E0,2.694452713E2,1.407202294E1,1.407202294E1
2.567250085E1,2.258760763E1,1.139664423E2,3.635705484E1,1.100266214E0,2.681671241E2,1.408011282E1,1.408011282E1
2.667253804E1,2.258761296E1,1.139664274E2,3.625523971E1,1.379541612E0,2.705088260E2,1.408999566E1,1.408999566E1
