"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.941745833E-2,-7.733140588E-1,-8.752663136E-1,2.494103611E-1
2.937345835E-2,-8.056331277E-1,-8.993543386E-1,3.060484231E-1
3.932945838E-2,-7.859832644E-1,-9.366950989E-1,3.314491212E-1
4.928445839E-2,-7.156080604E-1,-9.619234204E-1,3.381296396E-1
5.924045842E-2,-6.066456437E-1,-9.731861949E-1,3.252441883E-1
6.919645832E-2,-4.926216006E-1,-9.780943394E-1,2.952746153E-1
7.915245835E-2,-3.826602101E-1,-9.653140903E-1,2.598612309E-1
8.910845837E-2,-2.972007096E-1,-8.994158506E-1,2.373708785E-1
9.906445839E-2,-2.512854338E-1,-8.466517329E-1,2.383011281E-1
1.090204584E-1,-2.385824919E-1,-8.492788672E-1,2.489141375E-1
1.189764583E-1,-2.525550425E-1,-8.736041784E-1,2.652377188E-1
1.289324583E-1,-2.893688977E-1,-9.369309545E-1,2.880810499E-1
1.388884584E-1,-3.457821012E-1,-9.979295731E-1,3.221322298E-1
1.488444584E-1,-3.717233837E-1,-1.023100615E0,3.667997718E-1
1.588004584E-1,-3.528229296E-1,-9.956596494E-1,4.036483467E-1
1.687564583E-1,-3.099152148E-1,-8.499417901E-1,4.262482822E-1
1.787124583E-1,-2.750714719E-1,-6.476914883E-1,4.269622564E-1
1.886674584E-1,-2.944163680E-1,-4.413229823E-1,4.026253223E-1
1.986234584E-1,-3.556187451E-1,-3.090874553E-1,3.622523248E-1
2.085794584E-1,-4.541715980E-1,-2.772472799E-1,3.378928602E-1
2.185354583E-1,-5.523725152E-1,-3.343118727E-1,3.519197404E-1
2.284914583E-1,-6.254125834E-1,-3.677001595E-1,4.036690593E-1
2.384474584E-1,-6.778004169E-1,-3.751692474E-1,4.672829211E-1
2.484034584E-1,-7.396488786E-1,-3.950085342E-1,5.284225941E-1
2.583594584E-1,-7.571181655E-1,-4.466333985E-1,5.884723663E-1
2.683154583E-1,-6.978019476E-1,-5.263434649E-1,6.511872411E-1
2.782714583E-1,-6.110451818E-1,-6.652467847E-1,7.316804528E-1
2.882274584E-1,-5.029425621E-1,-8.286646008E-1,8.039664030E-1
2.981834584E-1,-3.788504303E-1,-9.501667619E-1,8.697411418E-1
3.081384584E-1,-2.331429273E-1,-1.033214927E0,9.356256127E-1
3.180944583E-1,-1.063714027E-1,-1.096059442E0,9.632686973E-1
3.280504583E-1,-3.835591301E-2,-1.071184039E0,9.406104684E-1
3.380064584E-1,-2.773682773E-2,-9.918293357E-1,8.897345066E-1
