"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.941745833E-2,5.059999084E1,6.302841187E0,7.581329346E-2
2.937345835E-2,5.056654358E1,6.323020935E0,-1.654052734E-1
3.932945838E-2,5.067951202E1,6.196704865E0,-3.151245117E-1
4.928445839E-2,5.085057068E1,5.942718506E0,-8.053359985E-1
5.924045842E-2,5.089393616E1,5.812381744E0,-1.189033508E0
6.919645832E-2,5.083955383E1,5.782642365E0,-1.512733459E0
7.915245835E-2,5.069357300E1,5.595268250E0,-1.831710815E0
8.910845837E-2,5.065292358E1,5.557876587E0,-2.360595703E0
9.906445839E-2,5.063916779E1,5.451171875E0,-2.775634766E0
1.090204584E-1,5.063256836E1,5.367553711E0,-3.287620544E0
1.189764583E-1,5.059831238E1,5.281688690E0,-3.639053345E0
1.289324583E-1,5.060822296E1,5.095279694E0,-4.085273743E0
1.388884584E-1,5.044167328E1,4.923721313E0,-4.538406372E0
1.488444584E-1,5.048298645E1,4.780864716E0,-5.011161804E0
1.588004584E-1,5.039895630E1,4.723514557E0,-5.623176575E0
1.687564583E-1,5.035733032E1,4.444366455E0,-6.060447693E0
1.787124583E-1,5.017387390E1,4.426986694E0,-6.437515259E0
1.886674584E-1,5.011752319E1,4.306900024E0,-6.860931396E0
1.986234584E-1,5.010942078E1,4.026500702E0,-6.945205688E0
2.085794584E-1,5.009928131E1,3.846706390E0,-7.238533020E0
2.185354583E-1,5.020043182E1,3.651290894E0,-7.452682495E0
2.284914583E-1,5.012731934E1,3.538322449E0,-7.468910217E0
2.384474584E-1,5.010618591E1,3.478397369E0,-7.561874390E0
2.484034584E-1,5.002284241E1,3.296916962E0,-7.835998535E0
2.583594584E-1,5.009612274E1,3.057323456E0,-7.959243774E0
2.683154583E-1,5.006468964E1,2.842433929E0,-8.218200684E0
2.782714583E-1,5.002993011E1,2.527225494E0,-8.247383118E0
2.882274584E-1,4.989430237E1,2.276546478E0,-8.499671936E0
2.981834584E-1,4.980107880E1,1.979209900E0,-9.085639954E0
3.081384584E-1,4.971333313E1,1.615951538E0,-9.325027466E0
3.180944583E-1,4.959691620E1,1.302398682E0,-1.010255432E1
3.280504583E-1,4.950000000E1,7.901535034E-1,-1.075971222E1
3.380064584E-1,4.930142975E1,3.292541504E-1,-1.117646027E1
3.479624584E-1,4.922342682E1,-2.063484192E-1,-1.167989349E1
3.579184584E-1,4.910900879E1,-6.710624695E-1,-1.178041840E1
3.678744583E-1,4.904029083E1,-1.002048492E0,-1.239040375E1
3.778304583E-1,4.892378235E1,-1.412311554E0,-1.275397491E1
3.877864584E-1,4.878292084E1,-1.795612335E0,-1.297142029E1
3.977424584E-1,4.868725586E1,-2.167953491E0,-1.343502808E1
4.076984584E-1,4.855287933E1,-2.605052948E0,-1.375901031E1
4.176534583E-1,4.851838684E1,-2.927928925E0,-1.412844849E1
4.276094583E-1,4.831419373E1,-3.323287964E0,-1.454327393E1
4.375654584E-1,4.815635681E1,-3.844341278E0,-1.459345245E1
4.475214584E-1,4.804686737E1,-4.222854614E0,-1.502529144E1
4.574774584E-1,4.775478363E1,-4.602481842E0,-1.525270081E1
4.674334583E-1,4.766400146E1,-4.951244354E0,-1.543838501E1
4.773894583E-1,4.760817719E1,-5.389762878E0,-1.550965118E1
4.873454584E-1,4.757135010E1,-5.744144440E0,-1.577764130E1
4.973014584E-1,4.738756561E1,-5.937858582E0,-1.591323090E1
5.072574584E-1,4.722206116E1,-6.238044739E0,-1.626933289E1
5.172134583E-1,4.704617310E1,-6.341621399E0,-1.665089417E1
5.271694583E-1,4.676857758E1,-6.441650391E0,-1.717739868E1
5.371254584E-1,4.659591675E1,-6.498840332E0,-1.775722504E1
5.470804584E-1,4.628114319E1,-6.572010040E0,-1.819752502E1
5.570364584E-1,4.602232361E1,-6.404808044E0,-1.858843994E1
5.669924584E-1,4.581763458E1,-6.330692291E0,-1.922284698E1
5.769484583E-1,4.538683319E1,-6.158096313E0,-1.981321716E1
5.869044584E-1,4.519976044E1,-5.852165222E0,-2.052408600E1
5.968604584E-1,4.496695709E1,-5.676815033E0,-2.103052521E1
6.068164584E-1,4.455595398E1,-5.077312469E0,-2.181911469E1
6.167724583E-1,4.432417297E1,-4.731716156E0,-2.247707367E1
6.267284583E-1,4.397005463E1,-4.452945709E0,-2.286600494E1
6.366844584E-1,4.367493439E1,-3.967105865E0,-2.305554962E1
6.466404584E-1,4.377873993E1,-3.723327637E0,-2.324018097E1
6.565954584E-1,4.394128418E1,-3.433528900E0,-2.316777802E1
6.665514584E-1,4.418045044E1,-2.937969208E0,-2.273825836E1
6.765074583E-1,4.437805939E1,-2.622707367E0,-2.240273285E1
6.864626250E-1,4.472077179E1,-2.367263794E0,-2.193670654E1
6.964186251E-1,4.503878021E1,-1.998031616E0,-2.126700592E1
7.063746250E-1,4.525606537E1,-1.679580688E0,-2.073500061E1
7.163306250E-1,4.567110443E1,-1.171421051E0,-2.012644196E1
7.262866250E-1,4.598631287E1,-8.150215149E-1,-1.950839233E1
7.362426250E-1,4.601374817E1,-4.622459412E-1,-1.915686798E1
7.461986251E-1,4.629567719E1,-2.843475342E-2,-1.862327576E1
7.561546250E-1,4.636400604E1,4.668731689E-1,-1.841149139E1
7.661106250E-1,4.638204193E1,9.470787048E-1,-1.844349670E1
7.760656250E-1,4.627751923E1,1.361289978E0,-1.840463257E1
7.860216250E-1,4.629317474E1,1.883026123E0,-1.830823517E1
7.959776251E-1,4.616013336E1,2.630641937E0,-1.812728119E1
8.059336251E-1,4.605021667E1,3.295078278E0,-1.791806793E1
8.158896250E-1,4.620288849E1,4.040866852E0,-1.770743561E1
8.258456250E-1,4.618305969E1,4.807437897E0,-1.748638916E1
8.358016250E-1,4.625897980E1,5.544120789E0,-1.716197205E1
8.457576251E-1,4.614471436E1,6.230697632E0,-1.707449341E1
8.557136250E-1,4.597252655E1,6.605651855E0,-1.712242126E1
8.656696250E-1,4.580931854E1,7.002590179E0,-1.693729401E1
8.756256250E-1,4.570099640E1,7.308795929E0,-1.711665344E1
8.855806250E-1,4.557537842E1,7.623699188E0,-1.731679535E1
8.955366251E-1,4.563162994E1,7.741104126E0,-1.752004242E1
9.054926251E-1,4.552794647E1,7.851932526E0,-1.751715851E1
9.154486250E-1,4.548500061E1,7.941387177E0,-1.765493011E1
9.254046250E-1,4.541163635E1,8.175670624E0,-1.766571808E1
9.353606250E-1,4.507399750E1,8.324241638E0,-1.803576660E1
9.453166251E-1,4.516796875E1,8.526180267E0,-1.781774902E1
9.552726251E-1,4.518282318E1,8.899497986E0,-1.756112671E1
9.652286250E-1,4.515087891E1,9.389118195E0,-1.735487366E1
9.751846250E-1,4.504615021E1,9.563259125E0,-1.725203705E1
9.851406250E-1,4.513517761E1,9.746421814E0,-1.684893036E1
9.950956251E-1,4.522566223E1,9.773151398E0,-1.669521332E1
