"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.554729536E-2,3.053947985E-1,1.007404423E1
1.199375000E-2,7.935342193E-2,3.068887591E-1,9.985353470E0
2.199375000E-2,7.703583688E-2,3.580576479E-1,9.890514374E0
3.199375000E-2,3.532884270E-2,4.485776424E-1,9.814608574E0
4.200000000E-2,6.702806801E-2,4.729697704E-1,9.807033539E0
5.399375000E-2,5.131253228E-2,5.135850310E-1,9.832535744E0
6.399375000E-2,1.645295322E-2,5.427942276E-1,9.864657402E0
7.599531200E-2,9.002198465E-3,5.109992623E-1,9.860260963E0
8.799375000E-2,-1.071644668E-2,4.992485046E-1,9.869790077E0
9.999843700E-2,-3.721546754E-2,4.674439430E-1,9.914427757E0
1.119937500E-1,3.755065799E-2,4.096575081E-1,9.889489174E0
1.240062500E-1,7.992803305E-2,4.644655585E-1,9.861850739E0
1.359937500E-1,-5.075707450E-4,4.778060317E-1,9.763870239E0
1.459937500E-1,-3.939898312E-2,4.518145919E-1,9.785417557E0
1.559937500E-1,-1.355118211E-2,4.983865917E-1,9.895695686E0
1.679937500E-1,-4.528871924E-2,5.320107341E-1,9.830669403E0
1.779937500E-1,-3.172796220E-2,5.406777859E-1,9.779633522E0
1.899937500E-1,2.122220397E-2,5.735166669E-1,9.787784576E0
2.000078120E-1,5.126464739E-2,5.540757179E-1,9.810414314E0
2.119921870E-1,8.233180642E-2,4.825370014E-1,9.923698425E0
2.219937500E-1,1.402523369E-1,4.305828214E-1,9.963584900E0
2.319937500E-1,7.943961024E-2,4.070621729E-1,9.935524940E0
2.420031250E-1,7.264008373E-2,4.082688689E-1,9.886233330E0
2.539937500E-1,8.825984597E-2,4.425825477E-1,9.931714058E0
2.639937500E-1,2.472731657E-2,4.460014701E-1,9.918334961E0
2.760062500E-1,8.152735978E-2,4.143118262E-1,9.978151321E0
2.879921870E-1,3.426581621E-2,4.728165269E-1,9.865116119E0
2.979921870E-1,1.402044483E-2,4.907538891E-1,9.859437943E0
3.079937500E-1,8.408436924E-2,4.878233969E-1,9.886319160E0
3.180046870E-1,6.416460127E-2,5.350370407E-1,9.842007637E0
3.299937500E-1,2.127966471E-2,5.636525154E-1,9.810787201E0
3.399937500E-1,4.388092831E-2,5.783529878E-1,9.802446365E0
3.519984370E-1,1.375229470E-2,5.944802761E-1,9.682439804E0
3.639921870E-1,4.890875146E-2,5.593525171E-1,9.704916000E0
3.739921870E-1,6.691315025E-2,5.298368335E-1,9.857666016E0
3.839921870E-1,1.284249779E-2,4.892120361E-1,9.845656395E0
3.940031250E-1,2.017833106E-2,4.605007768E-1,9.884212494E0
4.059921870E-1,6.960423291E-2,4.363959432E-1,9.912378311E0
4.159937500E-1,1.009395421E-1,4.359362423E-1,9.933733940E0
4.259937500E-1,6.798575073E-2,4.903612435E-1,9.888311386E0
4.359984370E-1,7.539819926E-2,5.002828240E-1,9.773781776E0
4.479937500E-1,1.103248149E-1,5.411661863E-1,9.770823479E0
