"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.473750000E-3,2.007128671E-2,-2.042035107E-3,4.118977115E-3
1.748312500E-2,2.761110850E-2,-7.051130291E-3,-2.443460980E-3
2.947375000E-2,3.152064607E-2,-7.120943163E-3,-8.709193207E-3
3.947375000E-2,2.761110850E-2,-8.970992640E-3,-5.724680144E-3
4.947375000E-2,2.185152285E-2,-9.529497474E-3,-6.928957067E-3
5.948156200E-2,1.350884791E-2,-6.492624991E-3,-5.201081280E-3
7.147375000E-2,9.826203808E-3,-7.871435024E-3,-6.981316983E-5
8.147375000E-2,5.672320258E-3,-3.630284918E-3,8.726646192E-4
9.147375000E-2,2.914699726E-3,-8.552113432E-4,-1.745329246E-5
1.014784370E-1,7.504915819E-3,-3.141592606E-4,3.647738136E-3
1.134737500E-1,1.741838641E-2,3.106686054E-3,2.007128671E-3
1.254862500E-1,2.551671304E-2,5.881759338E-3,-2.303834539E-3
1.374737500E-1,2.101376466E-2,6.632251199E-3,-3.455751808E-3
1.474737500E-1,9.651671164E-3,6.387905218E-3,2.338741207E-3
1.574737500E-1,1.129228063E-2,1.117010694E-2,5.131267942E-3
1.694737500E-1,8.848818950E-3,1.111774705E-2,8.831365965E-3
1.794737500E-1,1.082104165E-3,5.323254038E-3,1.371828746E-2
1.914737500E-1,-2.600540640E-3,-6.283185212E-4,1.338667516E-2
2.014878120E-1,-4.293509759E-3,-4.886921961E-3,9.372417815E-3
2.134721870E-1,-7.679448463E-4,-5.672320258E-3,7.470009383E-3
2.234737500E-1,3.438298590E-3,-2.042035107E-3,4.660028964E-3
2.334737500E-1,9.302604944E-3,2.146754880E-3,4.555309191E-3
2.434831250E-1,6.283185445E-3,-6.457717973E-4,4.328416660E-3
2.554737500E-1,1.375319436E-2,2.687806962E-3,8.726646192E-4
2.654737500E-1,1.832595654E-2,1.151917269E-3,2.094395168E-4
2.774862500E-1,2.923426405E-2,1.130973361E-2,-6.457718089E-3
2.894721870E-1,3.358013555E-2,-4.014257283E-4,-1.197295822E-2
2.994721870E-1,3.073524870E-2,-9.075712413E-3,-7.766715251E-3
3.094737500E-1,3.068288788E-2,-6.056292448E-3,-8.988445625E-3
3.194846870E-1,3.047344834E-2,-3.682644805E-3,-7.801621687E-3
3.314737500E-1,2.246238664E-2,-5.183627829E-3,-6.981316837E-4
3.414737500E-1,1.795943826E-2,-7.330382941E-4,1.012290944E-3
3.534784370E-1,5.724680144E-3,-3.141592606E-4,8.028514567E-4
3.654721870E-1,-4.991641734E-3,-1.570796361E-3,2.600540640E-3
3.754721870E-1,-3.839724232E-4,2.373647876E-3,9.773843922E-4
3.854721870E-1,5.986479111E-3,7.103490178E-3,6.283185212E-4
3.954831250E-1,8.621926419E-3,7.784168236E-3,1.745329238E-3
4.074721870E-1,9.407324716E-3,8.796459064E-3,-3.839724232E-4
4.174737500E-1,1.350884791E-2,5.829399452E-3,-3.682644805E-3
4.274737500E-1,1.574287005E-2,-1.466076588E-3,-1.104793418E-2
4.374784370E-1,9.354964830E-3,-9.686577134E-3,-1.310742274E-2
4.494737500E-1,4.136430100E-3,-1.527163107E-2,-1.499237865E-2
4.594737500E-1,-5.270894151E-3,-1.340412907E-2,-1.092576142E-2
4.714721870E-1,-1.553343050E-2,-6.754423957E-3,-1.151917269E-3
4.814737500E-1,-2.288126573E-2,-3.717551241E-3,3.106686054E-3
4.914737500E-1,-2.522000670E-2,-3.508111695E-3,2.460914198E-3
5.034737500E-1,-2.207841538E-2,1.169370604E-3,-5.270894151E-3
5.134737500E-1,-1.267109066E-2,5.201081280E-3,-9.302604944E-3
5.234737500E-1,-3.892084118E-3,5.340707488E-3,-1.565560326E-2
5.334784370E-1,3.839724232E-3,6.684611086E-3,-1.886700839E-2
5.454737500E-1,2.727949619E-2,1.237438433E-2,-1.542871073E-2
5.574721870E-1,3.832742944E-2,1.045452245E-2,-1.830850355E-2
5.674768750E-1,3.588397056E-2,7.627088577E-3,-1.900663599E-2
5.794721870E-1,3.434807807E-2,9.808750823E-3,-1.904154196E-2
5.894737500E-1,3.155555204E-2,1.687733456E-2,-1.267109066E-2
5.994737500E-1,1.722639985E-2,2.295107953E-2,-5.410520826E-3
6.094737500E-1,-1.296779606E-2,9.145525284E-3,-2.042035107E-3
6.214737500E-1,-3.059562109E-2,6.911503617E-3,7.470009383E-3
6.314737500E-1,-2.581341937E-2,1.670280099E-2,1.237438433E-2
6.434721870E-1,-2.181661502E-2,1.984439418E-2,1.073377486E-2
6.534737500E-1,-1.954768784E-2,1.232202444E-2,1.151917269E-3
6.634737500E-1,-1.246165112E-2,9.808750823E-3,-4.642575979E-3
6.734737500E-1,-3.839724232E-3,1.389282104E-2,-6.754423957E-3
6.834737500E-1,-5.096361507E-3,1.396263391E-2,-7.312929723E-3
6.934737500E-1,-5.410520826E-3,1.172861271E-2,-9.512044489E-3
7.054737500E-1,-6.387905218E-3,1.652826741E-2,-3.508111695E-3
7.154737500E-1,-5.794493016E-3,1.830850355E-2,-5.986479111E-3
7.274721870E-1,-1.158898603E-2,1.569050923E-2,-8.901178837E-3
7.374721870E-1,-8.569566533E-3,1.731366664E-2,-1.274090353E-2
7.474721870E-1,-3.944444004E-3,2.775073424E-2,-8.237954229E-3
7.574721870E-1,-8.447393775E-3,3.145083413E-2,-6.457717973E-4
7.674721870E-1,-1.183333248E-2,2.483603545E-2,-2.443460980E-4
7.774737500E-1,-1.583013684E-2,2.059488557E-2,-8.377580671E-4
7.874737500E-1,-1.832595654E-2,1.502728462E-2,-2.024581889E-3
7.994721870E-1,-1.188569237E-2,1.246165112E-2,-1.972222002E-3
8.094737500E-1,-3.211405827E-3,1.193805225E-2,-2.042035107E-3
8.194737500E-1,6.981316954E-3,1.558579039E-2,-4.433136433E-3
8.314737500E-1,1.340412907E-2,1.022762898E-2,-1.027998887E-2
8.414737500E-1,2.150245570E-2,6.300638430E-3,-1.130973361E-2
8.514737500E-1,2.638937905E-2,1.754055917E-2,-8.360126987E-3
8.634737500E-1,2.439970337E-2,2.047271281E-2,-4.886921961E-3
8.734737500E-1,1.556833647E-2,2.809980186E-3,-9.128072299E-3
8.854721870E-1,-1.692969352E-3,-1.338667516E-2,-1.542871073E-2
8.954737500E-1,-1.204277202E-2,-6.684611086E-3,-1.637118869E-2
9.054737500E-1,-1.649336144E-2,-6.440265104E-3,-1.787217148E-2
9.154737500E-1,-1.155408006E-2,-4.712388851E-3,-2.251474746E-2
9.254737500E-1,-1.071632188E-2,-7.976154797E-3,-2.888519876E-2
9.354737500E-1,-1.197295822E-2,-6.352998316E-3,-3.071779385E-2
9.454737500E-1,-1.738347858E-2,-2.293362655E-2,-3.698352724E-2
9.574721870E-1,-1.893682219E-2,-2.277654596E-2,-3.275983036E-2
9.674737500E-1,-1.591740362E-2,-5.916666240E-3,-2.532472648E-2
9.774737500E-1,-1.286307629E-2,2.949606394E-3,-2.944370359E-2
9.894721870E-1,-1.785471849E-2,-2.146754880E-3,-3.684389964E-2
9.994721870E-1,-2.160717547E-2,-7.365289610E-3,-4.394739121E-2
1.009472187E0,-2.401573025E-2,-5.654866807E-3,-5.569345504E-2
