"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.063747402E1,1.222369350E2,-8.615073349E-1,0.000000000E0,1.793809357E2,3.998621225E0,3.998621225E0
4.730760410E-1,4.063747402E1,1.222369350E2,-8.615073349E-1,0.000000000E0,1.793809357E2,3.998621225E0,3.998621225E0
5.717526040E-1,4.063747402E1,1.222369350E2,-8.615073349E-1,0.000000000E0,1.793809357E2,3.998621225E0,3.998621225E0
1.557319270E0,4.063747402E1,1.222369350E2,-8.615073349E-1,0.000000000E0,1.793809357E2,3.998621225E0,3.998621225E0
2.660840624E0,4.063747642E1,1.222369320E2,-5.157860690E-1,5.169254541E-1,1.793809357E2,3.663731575E0,3.663731575E0
3.560517707E0,4.063748029E1,1.222369275E2,-1.266733754E-1,5.063051581E-1,1.793809357E2,3.324619293E0,3.324619293E0
4.561570832E0,4.063748531E1,1.222369289E2,-7.197033250E-2,6.053767204E-1,1.216976643E1,3.003286600E0,3.003286600E0
5.580762499E0,4.063749181E1,1.222369294E2,-7.196564698E-2,4.237636924E-1,1.216976643E1,1.000000000E0,1.000000000E0
6.563104686E0,4.063749942E1,1.222369268E2,-7.194955385E-2,2.966345847E-1,1.216976643E1,4.183750153E0,4.183750153E0
7.562298957E0,4.063750511E1,1.222369208E2,-7.192392282E-2,2.076442093E-1,1.216976643E1,4.699999809E0,4.699999809E0
8.610145832E0,4.063751246E1,1.222369176E2,-7.190586520E-2,1.453509480E-1,1.216976643E1,4.699999809E0,4.699999809E0
9.593444269E0,4.063752021E1,1.222369187E2,-7.190204584E-2,1.017456651E-1,1.216976643E1,4.699999809E0,4.699999809E0
1.056454583E1,4.063752664E1,1.222369182E2,1.117428394E0,5.048487782E-1,3.450931396E2,5.400014877E0,5.400014877E0
1.160373541E1,4.063753406E1,1.222369126E2,2.178642599E0,9.394124746E-1,3.303856201E2,6.887089729E0,6.887089729E0
1.256646875E1,4.063755150E1,1.222369069E2,2.360269237E0,7.733277082E-1,3.474123230E2,7.531586647E0,7.531586647E0
1.355949739E1,4.063756042E1,1.222369054E2,2.428009113E0,7.115827203E-1,3.470629883E2,7.820622444E0,7.820622444E0
1.457564427E1,4.063756769E1,1.222369005E2,2.843622707E0,6.692404747E-1,3.467586060E2,8.479494095E0,8.479494095E0
1.554888333E1,4.063757405E1,1.222368985E2,3.206246457E0,6.407774091E-1,3.465003967E2,9.265032768E0,9.265032768E0
1.658921979E1,4.063757873E1,1.222369022E2,3.457147356E0,7.879562378E-1,3.448662720E2,9.054563522E0,9.054563522E0
1.759360208E1,4.063758632E1,1.222369057E2,3.435534488E0,7.220929265E-1,3.465231323E2,9.629208565E0,9.629208565E0
1.856508906E1,4.063759254E1,1.222369079E2,3.774996017E0,6.715796590E-1,3.463851318E2,1.045880127E1,1.045880127E1
1.958363593E1,4.063759856E1,1.222369014E2,4.129613300E0,6.387816668E-1,3.448680420E2,1.112399673E1,1.112399673E1
2.067688333E1,4.063760775E1,1.222369011E2,4.053198047E0,7.466663122E-1,3.510049438E2,1.107689476E1,1.107689476E1
2.156271979E1,4.063761092E1,1.222369000E2,3.934761870E0,7.048890591E-1,8.842269778E-1,1.176578331E1,1.176578331E1
2.256225989E1,4.063761742E1,1.222368981E2,3.956692564E0,6.835454106E-1,3.547721863E2,1.146438217E1,1.146438217E1
2.359452083E1,4.063762350E1,1.222368968E2,4.128272570E0,7.096692324E-1,3.500224304E2,1.113695717E1,1.113695717E1
2.456187864E1,4.063762904E1,1.222368959E2,4.288604428E0,6.627752185E-1,3.524132690E2,1.036718273E1,1.036718273E1
2.557024791E1,4.063763635E1,1.222368965E2,4.258306657E0,6.554332972E-1,3.493241882E2,9.940775871E0,9.940775871E0
2.659043177E1,4.063764071E1,1.222368943E2,4.236608552E0,5.063492656E-1,3.466712341E2,9.074066162E0,9.074066162E0
2.755780520E1,4.063764536E1,1.222368920E2,4.169336795E0,6.159294844E-1,3.432475586E2,8.250677109E0,8.250677109E0
2.856360156E1,4.063765275E1,1.222368893E2,4.086091826E0,8.112389445E-1,3.432873535E2,7.711484909E0,7.711484909E0
