"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.994718700E-2,1.125000000E0,2.218750000E1,-4.387500000E1
3.987531200E-2,1.250000000E0,2.237500000E1,-4.393750000E1
5.987375000E-2,1.500000000E0,2.231250000E1,-4.375000000E1
6.987375000E-2,1.625000000E0,2.225000000E1,-4.375000000E1
8.988625000E-2,1.562500000E0,2.243750000E1,-4.381250000E1
1.098737500E-1,1.562500000E0,2.281250000E1,-4.381250000E1
1.198737500E-1,1.500000000E0,2.268750000E1,-4.375000000E1
1.298862500E-1,1.437500000E0,2.281250000E1,-4.400000000E1
1.498721870E-1,1.312500000E0,2.287500000E1,-4.406250000E1
1.598721870E-1,1.187500000E0,2.300000000E1,-4.406250000E1
1.698721870E-1,1.250000000E0,2.306250000E1,-4.418750000E1
1.798737500E-1,1.250000000E0,2.300000000E1,-4.400000000E1
1.898846870E-1,1.250000000E0,2.287500000E1,-4.381250000E1
2.098721870E-1,1.312500000E0,2.281250000E1,-4.381250000E1
2.198721870E-1,1.312500000E0,2.293750000E1,-4.356250000E1
2.298721870E-1,1.437500000E0,2.331250000E1,-4.356250000E1
2.398831250E-1,1.375000000E0,2.318750000E1,-4.343750000E1
2.598737500E-1,1.312500000E0,2.318750000E1,-4.331250000E1
2.698737500E-1,1.437500000E0,2.300000000E1,-4.356250000E1
2.898800000E-1,1.437500000E0,2.287500000E1,-4.387500000E1
3.098721870E-1,1.375000000E0,2.275000000E1,-4.412500000E1
3.198721870E-1,1.250000000E0,2.250000000E1,-4.425000000E1
3.298737500E-1,1.062500000E0,2.262500000E1,-4.431250000E1
3.398737500E-1,1.125000000E0,2.243750000E1,-4.412500000E1
3.498784370E-1,1.062500000E0,2.231250000E1,-4.412500000E1
3.698721870E-1,9.375000000E-1,2.250000000E1,-4.381250000E1
3.798721870E-1,1.125000000E0,2.250000000E1,-4.356250000E1
3.898721870E-1,1.312500000E0,2.250000000E1,-4.362500000E1
3.998831250E-1,1.375000000E0,2.256250000E1,-4.350000000E1
4.198721870E-1,1.625000000E0,2.237500000E1,-4.337500000E1
4.298721870E-1,1.687500000E0,2.243750000E1,-4.337500000E1
4.398721870E-1,1.687500000E0,2.268750000E1,-4.343750000E1
4.498784370E-1,1.437500000E0,2.262500000E1,-4.350000000E1
4.698737500E-1,1.500000000E0,2.262500000E1,-4.387500000E1
4.798737500E-1,1.250000000E0,2.243750000E1,-4.387500000E1
4.998862500E-1,1.375000000E0,2.237500000E1,-4.381250000E1
5.198721870E-1,1.187500000E0,2.225000000E1,-4.400000000E1
5.298721870E-1,1.312500000E0,2.218750000E1,-4.387500000E1
5.398737500E-1,1.375000000E0,2.237500000E1,-4.387500000E1
5.498737500E-1,1.562500000E0,2.225000000E1,-4.387500000E1
5.698721870E-1,1.500000000E0,2.231250000E1,-4.387500000E1
5.798831250E-1,1.562500000E0,2.218750000E1,-4.412500000E1
5.998721870E-1,1.687500000E0,2.218750000E1,-4.406250000E1
6.098737500E-1,1.562500000E0,2.243750000E1,-4.412500000E1
6.198737500E-1,1.437500000E0,2.231250000E1,-4.425000000E1
6.298862500E-1,1.250000000E0,2.218750000E1,-4.425000000E1
6.498721870E-1,1.312500000E0,2.218750000E1,-4.425000000E1
6.598721870E-1,1.375000000E0,2.243750000E1,-4.406250000E1
6.698721870E-1,1.312500000E0,2.262500000E1,-4.400000000E1
6.798737500E-1,1.250000000E0,2.243750000E1,-4.393750000E1
6.898737500E-1,1.125000000E0,2.256250000E1,-4.400000000E1
6.998737500E-1,1.125000000E0,2.256250000E1,-4.393750000E1
7.098737500E-1,1.312500000E0,2.268750000E1,-4.400000000E1
7.198737500E-1,1.500000000E0,2.262500000E1,-4.393750000E1
7.398721870E-1,1.437500000E0,2.275000000E1,-4.387500000E1
7.498737500E-1,1.500000000E0,2.262500000E1,-4.393750000E1
7.598737500E-1,1.687500000E0,2.256250000E1,-4.381250000E1
7.698737500E-1,1.625000000E0,2.268750000E1,-4.375000000E1
7.898721870E-1,1.812500000E0,2.268750000E1,-4.375000000E1
7.998721870E-1,1.750000000E0,2.262500000E1,-4.368750000E1
8.098721870E-1,1.687500000E0,2.275000000E1,-4.375000000E1
8.198721870E-1,2.000000000E0,2.262500000E1,-4.362500000E1
8.298737500E-1,2.000000000E0,2.268750000E1,-4.381250000E1
8.398737500E-1,1.875000000E0,2.256250000E1,-4.362500000E1
8.598721870E-1,1.687500000E0,2.275000000E1,-4.362500000E1
8.698737500E-1,1.875000000E0,2.275000000E1,-4.350000000E1
8.798737500E-1,1.937500000E0,2.268750000E1,-4.350000000E1
8.998737500E-1,2.125000000E0,2.275000000E1,-4.356250000E1
9.098737500E-1,2.000000000E0,2.281250000E1,-4.368750000E1
9.198737500E-1,1.875000000E0,2.287500000E1,-4.350000000E1
9.298737500E-1,2.062500000E0,2.287500000E1,-4.375000000E1
9.398737500E-1,2.187500000E0,2.275000000E1,-4.387500000E1
9.498737500E-1,2.125000000E0,2.268750000E1,-4.406250000E1
9.698737500E-1,2.000000000E0,2.268750000E1,-4.406250000E1
9.798737500E-1,2.000000000E0,2.268750000E1,-4.425000000E1
9.998721870E-1,1.875000000E0,2.256250000E1,-4.425000000E1
1.009872187E0,2.000000000E0,2.250000000E1,-4.431250000E1
1.019872187E0,1.875000000E0,2.268750000E1,-4.406250000E1
1.029872187E0,1.812500000E0,2.256250000E1,-4.393750000E1
1.039873750E0,1.875000000E0,2.250000000E1,-4.387500000E1
1.049873750E0,1.687500000E0,2.243750000E1,-4.393750000E1
1.069872187E0,1.625000000E0,2.218750000E1,-4.400000000E1
1.079872187E0,1.437500000E0,2.243750000E1,-4.381250000E1
1.089872187E0,1.375000000E0,2.243750000E1,-4.406250000E1
1.099872187E0,1.250000000E0,2.225000000E1,-4.387500000E1
1.109873750E0,1.312500000E0,2.206250000E1,-4.406250000E1
1.119873750E0,1.312500000E0,2.225000000E1,-4.400000000E1
1.129886250E0,1.250000000E0,2.250000000E1,-4.393750000E1
1.149872187E0,1.250000000E0,2.256250000E1,-4.381250000E1
1.159873750E0,1.250000000E0,2.275000000E1,-4.387500000E1
1.179873750E0,1.312500000E0,2.256250000E1,-4.381250000E1
1.189873750E0,1.250000000E0,2.268750000E1,-4.406250000E1
1.209872187E0,1.000000000E0,2.237500000E1,-4.412500000E1
1.219872187E0,1.000000000E0,2.212500000E1,-4.431250000E1
1.229873750E0,1.062500000E0,2.181250000E1,-4.431250000E1
1.249873750E0,1.187500000E0,2.168750000E1,-4.450000000E1
1.259873750E0,1.125000000E0,2.175000000E1,-4.450000000E1
1.269873750E0,1.312500000E0,2.175000000E1,-4.425000000E1
1.289872187E0,1.375000000E0,2.193750000E1,-4.412500000E1
1.299872187E0,1.562500000E0,2.187500000E1,-4.418750000E1
1.309872187E0,1.625000000E0,2.193750000E1,-4.412500000E1
1.319872187E0,1.750000000E0,2.212500000E1,-4.418750000E1
1.329873750E0,1.687500000E0,2.231250000E1,-4.425000000E1
1.349872187E0,1.875000000E0,2.212500000E1,-4.393750000E1
1.359872187E0,1.812500000E0,2.212500000E1,-4.412500000E1
1.369872187E0,1.812500000E0,2.206250000E1,-4.387500000E1
1.379872187E0,1.875000000E0,2.206250000E1,-4.387500000E1
1.389872187E0,1.750000000E0,2.200000000E1,-4.356250000E1
1.399873750E0,1.750000000E0,2.212500000E1,-4.356250000E1
1.409873750E0,1.625000000E0,2.225000000E1,-4.350000000E1
1.429872187E0,1.562500000E0,2.262500000E1,-4.343750000E1
1.439873750E0,1.500000000E0,2.268750000E1,-4.343750000E1
1.449873750E0,1.375000000E0,2.268750000E1,-4.331250000E1
1.469873750E0,1.687500000E0,2.281250000E1,-4.318750000E1
1.479873750E0,1.750000000E0,2.268750000E1,-4.337500000E1
1.499872187E0,1.750000000E0,2.243750000E1,-4.337500000E1
1.509872187E0,1.812500000E0,2.237500000E1,-4.318750000E1
1.519873750E0,1.687500000E0,2.237500000E1,-4.337500000E1
1.539873750E0,1.562500000E0,2.218750000E1,-4.350000000E1
1.549873750E0,1.625000000E0,2.225000000E1,-4.362500000E1
1.569873750E0,1.375000000E0,2.243750000E1,-4.356250000E1
