"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.752291690E-3,-2.426304474E0,4.331093445E0,7.025789795E0
8.205708233E-3,-2.104324036E0,4.649181976E0,8.028404846E0
1.816370827E-2,-1.639241180E0,4.487069092E0,9.498946838E0
2.812170831E-2,-1.807640991E0,4.082310791E0,9.902657318E0
3.807970823E-2,-2.417173462E0,3.898792419E0,9.053772583E0
4.803770827E-2,-2.860102386E0,3.795656891E0,8.103249207E0
5.799570831E-2,-2.867586823E0,3.763473816E0,7.876321106E0
6.795370823E-2,-2.567311249E0,3.854933624E0,8.151598663E0
7.791170827E-2,-2.302661591E0,3.985312500E0,8.414901123E0
8.786970831E-2,-2.270478516E0,3.997886353E0,8.264613647E0
9.782770823E-2,-2.311942291E0,3.914060669E0,8.270601196E0
1.077857083E-1,-2.401456146E0,3.920347595E0,8.344098358E0
1.177437083E-1,-2.428250427E0,4.010460205E0,8.252339172E0
1.277017082E-1,-2.296224976E0,4.140539703E0,8.181087341E0
1.376597083E-1,-2.136806488E0,4.248465271E0,7.978259125E0
1.476177083E-1,-2.150278473E0,4.344565430E0,7.617209930E0
1.575757082E-1,-2.264341278E0,4.488715668E0,7.502847748E0
1.675337083E-1,-2.273472290E0,4.585713959E0,7.662864990E0
1.774917083E-1,-2.168690186E0,4.559518433E0,7.763006744E0
1.874497082E-1,-2.066901855E0,4.576433258E0,7.874824219E0
1.974077083E-1,-1.899400177E0,4.709207153E0,8.194110260E0
2.073657083E-1,-1.701960754E0,4.818928986E0,8.436605988E0
2.173237082E-1,-1.683698730E0,4.766837311E0,8.144712982E0
2.272817083E-1,-1.886377258E0,4.679119720E0,7.753875732E0
2.372397083E-1,-2.138153687E0,4.560416565E0,7.572153625E0
2.471977082E-1,-2.251168671E0,4.426594849E0,7.876770172E0
2.571557083E-1,-2.271526337E0,4.370162201E0,8.215066681E0
2.671137083E-1,-2.335742798E0,4.461023254E0,8.085136871E0
2.770717082E-1,-2.475252686E0,4.638853455E0,7.966733093E0
2.870297083E-1,-2.575544128E0,4.729714508E0,8.101452942E0
2.969877083E-1,-2.671344910E0,4.797074432E0,8.249195709E0
3.069457082E-1,-2.807711334E0,4.757706299E0,8.248896332E0
3.169037083E-1,-2.926564178E0,4.720134430E0,8.104746094E0
3.268617083E-1,-3.024460602E0,4.726571045E0,8.099506989E0
3.368197082E-1,-2.850222931E0,4.608616333E0,8.393944702E0
3.467777083E-1,-2.413281555E0,4.424499207E0,8.773555298E0
3.567357083E-1,-1.918410645E0,4.182751923E0,9.635612640E0
3.666937082E-1,-1.430724792E0,3.920347595E0,1.091515182E1
3.766517083E-1,-1.152603149E0,3.733536072E0,1.190414520E1
3.866097083E-1,-1.309776306E0,3.655398560E0,1.174263107E1
3.965677082E-1,-1.897304535E0,3.595523071E0,1.051757858E1
4.065257083E-1,-2.614463196E0,3.635789337E0,8.968150635E0
4.164837083E-1,-3.071762238E0,3.817960510E0,7.823181610E0
4.264417082E-1,-3.226390686E0,3.870201874E0,7.473957825E0
4.363997083E-1,-3.127147064E0,3.778891754E0,7.577542419E0
4.463577083E-1,-2.932102661E0,3.773652649E0,7.763755188E0
4.563157082E-1,-2.701582031E0,3.907474365E0,8.170010376E0
4.662737083E-1,-2.525548096E0,3.937262421E0,8.520431671E0
4.762317083E-1,-2.434088287E0,3.849844208E0,8.656648407E0
4.861897082E-1,-2.282752991E0,3.646866302E0,8.869954834E0
4.961477083E-1,-1.991608429E0,3.429817657E0,9.593250732E0
5.061057083E-1,-1.528920593E0,3.168760529E0,1.060993652E1
5.160637082E-1,-1.289119263E0,2.884501648E0,1.115719849E1
5.260217083E-1,-1.321452026E0,2.712209930E0,1.107651627E1
5.359797083E-1,-1.511856079E0,2.679877167E0,1.074076447E1
5.459377082E-1,-1.731449432E0,2.628384247E0,1.019080811E1
5.558957083E-1,-1.910028076E0,2.722089386E0,9.491911469E0
5.658537083E-1,-2.011666718E0,2.902613983E0,8.876241760E0
5.758117082E-1,-1.985770569E0,3.073857880E0,8.355025635E0
5.857697083E-1,-1.788780212E0,3.306623840E0,8.106692047E0
5.957277083E-1,-1.455872498E0,3.664978638E0,7.845934296E0
6.056857082E-1,-1.103804626E0,4.010460205E0,7.685617676E0
6.156437083E-1,-9.945318604E-1,4.116290131E0,7.766898651E0
6.256017083E-1,-1.047671356E0,4.093387756E0,7.952362976E0
6.355597082E-1,-1.088536377E0,4.069437561E0,8.146808624E0
6.455177083E-1,-9.752220154E-1,4.086502075E0,8.130791931E0
6.554757083E-1,-1.037791901E0,4.122427368E0,7.986791382E0
6.654337082E-1,-1.205592957E0,4.105961609E0,8.190966797E0
6.753917083E-1,-1.226250000E0,4.044140167E0,8.567134552E0
6.853497083E-1,-1.220861206E0,3.917353821E0,8.824000397E0
