"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.189870831E-2,-3.020864725E-1,-2.555078082E-2,-1.983088404E-1
3.185670823E-2,-2.721062303E-1,3.744041547E-2,-1.934918910E-1
4.181470827E-2,-2.750325203E-1,-5.221729726E-2,-1.234052032E-1
5.177270831E-2,-2.832858860E-1,-1.609061360E-1,-5.096358806E-2
6.173070823E-2,-2.481846064E-1,-2.544637620E-1,-1.418373547E-2
7.168870827E-2,-1.623272598E-1,-3.155642152E-1,-7.562096231E-3
8.164670831E-2,-6.717970222E-2,-3.795051277E-1,-1.362265181E-2
9.160470823E-2,1.459458191E-2,-4.149557054E-1,1.440121606E-2
1.015627083E-1,8.365008235E-2,-4.174774587E-1,6.353334337E-2
1.115207083E-1,1.476679146E-1,-4.004465938E-1,1.280808598E-1
1.214787082E-1,1.776029021E-1,-3.521618843E-1,1.806074530E-1
1.314367083E-1,1.747262627E-1,-2.879319489E-1,2.177741230E-1
1.413947083E-1,1.390031576E-1,-2.483474910E-1,2.483072728E-1
1.513527082E-1,9.316309541E-2,-2.132450640E-1,2.825385630E-1
1.613107083E-1,4.678627849E-2,-1.514879614E-1,3.165282309E-1
1.712687083E-1,6.072228309E-3,-7.810551673E-2,3.408656716E-1
1.812267082E-1,-2.978244051E-2,4.193829373E-4,3.432742357E-1
1.911847083E-1,-2.749250643E-2,7.204315811E-2,3.225626349E-1
2.011427083E-1,3.656077757E-2,1.270288974E-1,2.621874511E-1
2.111007082E-1,1.123223528E-1,1.124815941E-1,1.847511977E-1
2.210587083E-1,1.608118564E-1,3.851282969E-2,1.346350461E-1
2.310167083E-1,1.925448775E-1,-6.957592815E-2,1.192211062E-1
2.409747082E-1,2.143164873E-1,-1.276102066E-1,1.399972290E-1
2.509327083E-1,2.248961031E-1,-1.099690124E-1,1.660444438E-1
2.608907083E-1,1.877114475E-1,-7.634154707E-2,1.889580190E-1
2.708487082E-1,1.123033613E-1,-4.746716097E-2,2.097970247E-1
2.808067083E-1,4.882957414E-2,-1.988826506E-2,2.183915824E-1
2.907647083E-1,8.471647277E-3,-1.557850279E-3,2.157888263E-1
3.007227082E-1,-2.290571854E-2,-1.948891394E-2,2.178317457E-1
3.106807083E-1,-6.251934916E-2,-9.448631108E-2,2.325419933E-1
3.206387083E-1,-1.215104982E-1,-2.009435147E-1,2.534576654E-1
3.305967082E-1,-1.817519516E-1,-3.229913414E-1,2.775233984E-1
3.405547083E-1,-2.661323249E-1,-4.513253570E-1,2.776800096E-1
3.505127083E-1,-3.574233949E-1,-4.828210175E-1,2.619145811E-1
3.604707082E-1,-4.030183256E-1,-3.661468625E-1,2.303518355E-1
3.704287083E-1,-3.559432030E-1,-1.183072925E-1,1.825791150E-1
3.803867083E-1,-2.468350977E-1,1.282920986E-1,1.335101128E-1
