"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.855010986E-3,2.259110443E1,1.139626545E2,2.653330735E1,7.414793995E-1,1.921680820E2,1.436031904E1,1.436031904E1
6.208941936E-1,2.259117843E1,1.139626382E2,2.445501709E1,4.199999869E-1,3.564843750E2,2.540834679E1,2.540834679E1
1.888895631E0,2.259117424E1,1.139626063E2,2.416076660E1,4.199999869E-1,3.086718750E2,2.478223646E1,2.478223646E1
2.888896465E0,2.259117784E1,1.139625704E2,2.575054932E1,4.199999869E-1,3.019921875E2,2.396449298E1,2.396449298E1
3.888896704E0,2.259118568E1,1.139625456E2,2.672003174E1,1.370000005E0,3.019921875E2,2.368163319E1,2.368163319E1
4.888897419E0,2.259119565E1,1.139625209E2,2.769964600E1,2.019999981E0,3.026953125E2,2.298117700E1,2.298117700E1
5.888898611E0,2.259120831E1,1.139624915E2,2.776525879E1,2.380000114E0,3.033984375E2,2.272585880E1,2.272585880E1
6.888834953E0,2.259122088E1,1.139624634E2,2.957464600E1,2.160000086E0,3.048046875E2,2.283702557E1,2.283702557E1
7.888836384E0,2.259123207E1,1.139624393E2,2.885784912E1,2.160000086E0,3.058593750E2,2.270833646E1,2.270833646E1
8.888832808E0,2.259124196E1,1.139624163E2,2.732019043E1,2.099999905E0,3.026953125E2,2.251462952E1,2.251462952E1
9.888833880E0,2.259125235E1,1.139623935E2,2.727795410E1,2.079999924E0,3.026953125E2,2.250682566E1,2.250682566E1
1.088882923E1,2.259126254E1,1.139623679E2,2.681311035E1,2.420000076E0,2.967187500E2,2.241440055E1,2.241440055E1
1.188882911E1,2.259127151E1,1.139623399E2,2.693048096E1,2.420000076E0,2.942578125E2,2.239644706E1,2.239644706E1
1.288882577E1,2.259127725E1,1.139623129E2,2.567852783E1,2.420000076E0,2.861718750E2,2.229192696E1,2.229192696E1
1.388882434E1,2.259128334E1,1.139622903E2,2.709636928E1,2.420000076E0,2.861718663E2,2.231935278E1,2.231935278E1
1.488881505E1,2.259128741E1,1.139622645E2,2.652483847E1,2.430000067E0,2.851171787E2,2.231160620E1,2.231160620E1
1.588881516E1,2.259129155E1,1.139622397E2,2.611463121E1,2.470000029E0,2.837109285E2,2.218480409E1,2.218480409E1
1.688881171E1,2.259129573E1,1.139622144E2,2.574061733E1,2.529999971E0,2.833593658E2,2.216070801E1,2.216070801E1
1.788881373E1,2.259129587E1,1.139621894E2,2.663221984E1,2.500000000E0,2.773828032E2,2.212517995E1,2.212517995E1
1.888881290E1,2.259129353E1,1.139621665E2,2.667140679E1,2.500000000E0,2.728124907E2,2.199158233E1,2.199158233E1
1.988881254E1,2.259128827E1,1.139621418E2,2.662275701E1,2.500000000E0,2.675390532E2,2.199823728E1,2.199823728E1
2.088880825E1,2.259128129E1,1.139621160E2,2.649890192E1,2.579999924E0,2.650781154E2,2.192876942E1,2.192876942E1
2.188880658E1,2.259127179E1,1.139620910E2,2.600212344E1,2.599999905E0,2.615624904E2,2.188610088E1,2.188610088E1
2.288880157E1,2.259125977E1,1.139620674E2,2.549472674E1,2.599999905E0,2.569921780E2,2.199221367E1,2.199221367E1
2.388880455E1,2.259124549E1,1.139620433E2,2.570655834E1,2.660000086E0,2.527734280E2,2.195427756E1,2.195427756E1
2.488880420E1,2.259123263E1,1.139620222E2,2.563311159E1,2.660000086E0,2.506640531E2,2.197417156E1,2.197417156E1
2.588880157E1,2.259122041E1,1.139620055E2,2.556100752E1,2.440000057E0,2.489062415E2,2.208667059E1,2.208667059E1
2.688879383E1,2.259120772E1,1.139619924E2,2.498146441E1,2.440000057E0,2.460937417E2,2.246226564E1,2.246226564E1
2.788878655E1,2.259119816E1,1.139619812E2,2.440082304E1,2.180000067E0,2.478515550E2,2.260161231E1,2.260161231E1
2.888878000E1,2.259118602E1,1.139619651E2,2.496610968E1,2.180000067E0,2.485546799E2,2.283377780E1,2.283377780E1
2.988877332E1,2.259117349E1,1.139619455E2,2.464827827E1,2.450000048E0,2.510156163E2,2.306541922E1,2.306541922E1
3.088876760E1,2.259115665E1,1.139619320E2,2.468017819E1,2.430000067E0,2.436328044E2,2.297505485E1,2.297505485E1
3.188876259E1,2.259113806E1,1.139619214E2,2.482901384E1,2.430000067E0,2.366015549E2,2.256433939E1,2.256433939E1
3.288875747E1,2.259111958E1,1.139619137E2,2.474359658E1,2.430000067E0,2.306249930E2,2.287496122E1,2.287496122E1
3.388875246E1,2.259104357E1,1.139619401E2,1.882101189E1,2.428700538E0,2.296778571E2,1.424127793E1,1.424127793E1
3.488874841E1,2.259102910E1,1.139619356E2,1.808418224E1,2.308524173E0,2.225420133E2,1.424009099E1,1.424009099E1
3.588874328E1,2.259101461E1,1.139619236E2,1.840746014E1,2.362948873E0,2.289160339E2,1.423820924E1,1.423820924E1
3.688874054E1,2.259098678E1,1.139619327E2,1.896224795E1,2.066829419E0,2.106938271E2,1.423720612E1,1.423720612E1
3.788873720E1,2.259097009E1,1.139619008E2,1.826058986E1,2.208679951E0,2.050929371E2,1.422660453E1,1.422660453E1
3.888873374E1,2.259094940E1,1.139618975E2,1.838502469E1,1.620921024E0,2.044921825E2,1.422597522E1,1.422597522E1
3.988872993E1,2.259091878E1,1.139618902E2,1.792417372E1,2.616586593E0,2.036749831E2,1.422705016E1,1.422705016E1
4.088872778E1,2.259090597E1,1.139618933E2,1.771678719E1,1.594843246E0,2.010375851E2,1.422536963E1,1.422536963E1
