"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.189870831E-2,3.083004951E1,1.914631081E1,-2.818879700E1
3.185670823E-2,3.076107216E1,1.931569862E1,-2.806307983E1
4.181470827E-2,3.079020119E1,1.948431396E1,-2.809602356E1
5.177270831E-2,3.086443520E1,1.971951675E1,-2.797160339E1
6.173070823E-2,3.089503670E1,1.980541801E1,-2.798762512E1
7.168870827E-2,3.072980309E1,1.996841240E1,-2.785797119E1
8.164670831E-2,3.076253700E1,1.989198685E1,-2.800906372E1
9.160470823E-2,3.071343040E1,1.996064186E1,-2.820016479E1
1.015627083E-1,3.050318718E1,2.000259209E1,-2.814047241E1
1.115207083E-1,3.026453209E1,2.002371216E1,-2.831210327E1
1.214787082E-1,3.024976158E1,2.001101303E1,-2.863735962E1
1.314367083E-1,3.010093117E1,1.984681320E1,-2.861418152E1
1.413947083E-1,3.006329918E1,1.964357758E1,-2.848706055E1
1.513527082E-1,3.008818626E1,1.957513618E1,-2.852310181E1
1.613107083E-1,3.002005577E1,1.945555687E1,-2.869076538E1
1.712687083E-1,3.008546257E1,1.929922104E1,-2.891632080E1
1.812267082E-1,3.015677834E1,1.924133301E1,-2.889344788E1
1.911847083E-1,3.027606392E1,1.908433533E1,-2.903291321E1
2.011427083E-1,3.017430687E1,1.895220375E1,-2.911651611E1
2.111007082E-1,3.038298607E1,1.889986229E1,-2.906993103E1
2.210587083E-1,3.049305916E1,1.873336411E1,-2.906417847E1
2.310167083E-1,3.037076759E1,1.879581261E1,-2.912835693E1
2.409747082E-1,3.041628075E1,1.877109146E1,-2.900224304E1
2.509327083E-1,3.055843544E1,1.865959930E1,-2.909855652E1
2.608907083E-1,3.058325386E1,1.853501701E1,-2.919746399E1
2.708487082E-1,3.064569283E1,1.835658073E1,-2.922216797E1
2.808067083E-1,3.055059242E1,1.814776611E1,-2.915193176E1
2.907647083E-1,3.055557442E1,1.801250267E1,-2.932952881E1
3.007227082E-1,3.050097084E1,1.802641296E1,-2.929339600E1
3.106807083E-1,3.056910133E1,1.801751328E1,-2.911659241E1
3.206387083E-1,3.056807137E1,1.781821823E1,-2.932626343E1
3.305967082E-1,3.054140282E1,1.788222885E1,-2.929624939E1
3.405547083E-1,3.053253746E1,1.802889442E1,-2.932833862E1
3.505127083E-1,3.046700478E1,1.803225708E1,-2.943341064E1
3.604707082E-1,3.049124336E1,1.799710464E1,-2.932408142E1
3.704287083E-1,3.041487694E1,1.801606941E1,-2.949052429E1
3.803867083E-1,3.028896904E1,1.810004044E1,-2.948992920E1
3.903447082E-1,3.039516258E1,1.814462662E1,-2.945608521E1
4.003027083E-1,3.035776329E1,1.802887726E1,-2.935523987E1
4.102607083E-1,3.063028908E1,1.799560738E1,-2.930929565E1
4.202187082E-1,3.058556175E1,1.808786392E1,-2.922201538E1
4.301767083E-1,3.068402290E1,1.814646530E1,-2.908647156E1
4.401347083E-1,3.080746269E1,1.784152603E1,-2.923231506E1
4.500927082E-1,3.053093910E1,1.784700203E1,-2.947346497E1
4.600507083E-1,3.046082115E1,1.790344429E1,-2.935406494E1
4.700087083E-1,3.046285820E1,1.790977097E1,-2.922824097E1
4.799667082E-1,3.038781166E1,1.793074036E1,-2.942198181E1
4.899247083E-1,3.022731972E1,1.814073753E1,-2.947079468E1
4.998827083E-1,3.038001823E1,1.836135292E1,-2.943864441E1
5.098407082E-1,3.048415947E1,1.843299484E1,-2.925575256E1
5.197987083E-1,3.053414726E1,1.877574539E1,-2.891325378E1
5.297567083E-1,3.064472771E1,1.877381706E1,-2.875241089E1
5.397147082E-1,3.067849541E1,1.894720459E1,-2.851138306E1
5.496727083E-1,3.065890312E1,1.902545738E1,-2.851847839E1
5.596307083E-1,3.066618538E1,1.901525307E1,-2.849655151E1
5.695887082E-1,3.087782478E1,1.893722534E1,-2.860311890E1
5.795467083E-1,3.091167641E1,1.873699951E1,-2.834956360E1
5.895047083E-1,3.105951881E1,1.864454842E1,-2.840776062E1
5.994627082E-1,3.104758263E1,1.851118279E1,-2.836703491E1
6.094207083E-1,3.100602150E1,1.823432922E1,-2.868319702E1
6.193787083E-1,3.105728722E1,1.822410774E1,-2.846133423E1
6.293367082E-1,3.098843575E1,1.806162834E1,-2.866650391E1
6.392947083E-1,3.096308708E1,1.803685760E1,-2.877590942E1
6.492527083E-1,3.100817299E1,1.798357773E1,-2.885055542E1
6.592107082E-1,3.083604240E1,1.803491402E1,-2.880862427E1
6.691687083E-1,3.069212914E1,1.813786888E1,-2.881738281E1
6.791267083E-1,3.070582771E1,1.806028175E1,-2.891149902E1
